participant,classifier,band,mean_accuracy,std_accuracy
1,LogisticRegression,theta,0.6018473895582329,0.036982348079191686
1,SVM,theta,0.6224242424242424,0.026452083747258853
1,LDA,theta,0.6259802847754654,0.032202680832840336
1,KNN,theta,0.5946987951807229,0.017863858306362074
1,RandomForest,theta,0.575385177071924,0.03117020131630922
1,LogisticRegression,alpha,0.6115662650602409,0.0312566439446207
1,SVM,alpha,0.601913106973348,0.029973661438834166
1,LDA,alpha,0.6079445052939029,0.03671795718723289
1,KNN,alpha,0.5367287331142753,0.04800118467257342
1,RandomForest,alpha,0.5801606425702811,0.04379653872448246
1,LogisticRegression,beta,0.6839649507119387,0.031465277529182434
1,SVM,beta,0.6514056224899598,0.023021543209584723
1,LDA,beta,0.6851259583789704,0.024427222034053352
1,KNN,beta,0.5910040160642571,0.03272597099543282
1,RandomForest,beta,0.6236801752464401,0.026881859292156
2,LogisticRegression,theta,0.6464426599041984,0.033004854482536414
2,SVM,theta,0.6429909833755987,0.02151562551228077
2,LDA,theta,0.6333826429980276,0.028325702735307698
2,KNN,theta,0.5741476472245702,0.00904603017032147
2,RandomForest,theta,0.6096928712313328,0.018820360562104062
2,LogisticRegression,alpha,0.6690264863341786,0.013985322563962966
2,SVM,alpha,0.6512750070442378,0.016704352117325835
2,LDA,alpha,0.6440969287123133,0.024128621520334303
2,KNN,alpha,0.5433291067906453,0.01395432040778661
2,RandomForest,alpha,0.6263243167089321,0.015640422598989907
2,LogisticRegression,beta,0.7425542406311638,0.019726250711195374
2,SVM,beta,0.7259791490560722,0.018854570665487118
2,LDA,beta,0.7390039447731757,0.024784211513868466
2,KNN,beta,0.6405677655677655,0.01931303408080452
2,RandomForest,beta,0.6892364046210201,0.031147500851562593
3,LogisticRegression,theta,0.7970149253731343,0.04729247617240258
3,SVM,theta,0.755223880597015,0.05612416619989001
3,LDA,theta,0.773134328358209,0.039937576597790014
3,KNN,theta,0.6298507462686567,0.04566286131575627
3,RandomForest,theta,0.7358208955223882,0.046628356274069575
3,LogisticRegression,alpha,0.8343283582089551,0.02515268589007869
3,SVM,alpha,0.735820895522388,0.02434254691089568
3,LDA,alpha,0.8253731343283581,0.03152046579394458
3,KNN,alpha,0.6059701492537314,0.03874852234551394
3,RandomForest,alpha,0.7208955223880598,0.03734327165133374
3,LogisticRegression,beta,0.8686567164179106,0.022437755788616297
3,SVM,beta,0.8253731343283581,0.03423088042143198
3,LDA,beta,0.8701492537313433,0.03357379665433429
3,KNN,beta,0.6895522388059702,0.03324038425570164
3,RandomForest,beta,0.7701492537313432,0.03249483739862274
4,LogisticRegression,theta,0.7124172185430464,0.039251225759194534
4,SVM,theta,0.703232833739979,0.04401219186304182
4,LDA,theta,0.7032589752527013,0.04460333679967386
4,KNN,theta,0.6227431160683164,0.022866467970314663
4,RandomForest,theta,0.6662600209132102,0.018287208398681858
4,LogisticRegression,alpha,0.7480219588706867,0.012723503898867243
4,SVM,alpha,0.7203293830602997,0.029250718683727712
4,LDA,alpha,0.7414430115022655,0.007021082362921815
4,KNN,alpha,0.6200853956082258,0.04755126393576297
4,RandomForest,alpha,0.6754792610665737,0.015980679219222384
4,LogisticRegression,beta,0.8483008016730569,0.041386540119397804
4,SVM,beta,0.8799843150923667,0.025330267019150757
4,LDA,beta,0.8351080515859184,0.03596478091371867
4,KNN,beta,0.8059776925758104,0.03386231813556068
4,RandomForest,beta,0.8509672359707215,0.01905622044547867
6,LogisticRegression,theta,0.6556291390728477,0.02477918799188042
6,SVM,theta,0.6622516556291391,0.03244357275209509
6,LDA,theta,0.6622516556291391,0.028714547534673906
6,KNN,theta,0.6013245033112582,0.015332234308331428
6,RandomForest,theta,0.6543046357615894,0.04420746826034077
6,LogisticRegression,alpha,0.7403973509933774,0.031175105419708134
6,SVM,alpha,0.6821192052980132,0.037462610923790586
6,LDA,alpha,0.7284768211920529,0.034283918160383516
6,KNN,alpha,0.6503311258278146,0.03732186173140495
6,RandomForest,alpha,0.6370860927152318,0.030028567016568575
6,LogisticRegression,beta,0.8397350993377483,0.01844819639362136
6,SVM,beta,0.8251655629139073,0.02239938347720233
6,LDA,beta,0.8105960264900661,0.011546752168319671
6,KNN,beta,0.7178807947019867,0.025339240357230442
6,RandomForest,beta,0.8198675496688741,0.0419681576629268
7,LogisticRegression,theta,0.7564846980976013,0.01913729696092492
7,SVM,theta,0.7718362282878412,0.034154774949638096
7,LDA,theta,0.7448221670802316,0.030326470117144025
7,KNN,theta,0.6971546732837055,0.025589296521855223
7,RandomForest,theta,0.7732092638544251,0.024480646161628622
7,LogisticRegression,alpha,0.7731844499586435,0.010546395486445325
7,SVM,alpha,0.7834491315136476,0.02540143135604267
7,LDA,alpha,0.7616046319272126,0.021506292529952772
7,KNN,alpha,0.7010504549214226,0.022653448534747163
7,RandomForest,alpha,0.7653928866832093,0.034651967509907976
7,LogisticRegression,beta,0.8131182795698925,0.03040102717775878
7,SVM,beta,0.8312158808933002,0.018103195304340083
7,LDA,beta,0.791166253101737,0.03554874425157015
7,KNN,beta,0.7667907361455748,0.02520792746069385
7,RandomForest,beta,0.8170636889991728,0.03489585887288447
8,LogisticRegression,theta,0.7954285714285715,0.04189783492531054
8,SVM,theta,0.7748571428571429,0.03935811510336588
8,LDA,theta,0.784,0.04079215610874228
8,KNN,theta,0.6674285714285715,0.026899662390719614
8,RandomForest,theta,0.7417142857142857,0.026899662390719593
8,LogisticRegression,alpha,0.776,0.027618390796787587
8,SVM,alpha,0.7325714285714285,0.028318883870545968
8,LDA,alpha,0.7805714285714286,0.020634822954591767
8,KNN,alpha,0.6354285714285715,0.03511380913311363
8,RandomForest,alpha,0.72,0.021983296070481523
