classifier,participant_left_out,score
LogisticRegression,1,0.5054282267792521
LogisticRegression,2,0.36180308422301305
LogisticRegression,3,0.7164179104477612
LogisticRegression,4,0.5131926121372031
LogisticRegression,6,0.495364238410596
LogisticRegression,7,0.4162371134020619
LogisticRegression,8,0.6022857142857143
LogisticRegression,9,0.5044943820224719
LogisticRegression,10,0.6144329896907217
LogisticRegression,11,0.3801980198019802
LogisticRegression,12,0.36013590033975085
LogisticRegression,15,0.36699029126213595
LogisticRegression,18,0.5635910224438903
LogisticRegression,19,0.5748031496062992
LogisticRegression,21,0.5472972972972973
LogisticRegression,22,0.5005524861878453
LogisticRegression,23,0.5212121212121212
LogisticRegression,24,0.5647530040053405
LogisticRegression,25,0.7234401349072512
LogisticRegression,26,0.22408963585434175
LogisticRegression,27,0.6879875195007801
LogisticRegression,28,0.6021377672209026
LogisticRegression,29,0.7042042042042042
LogisticRegression,30,0.5053892215568863
SVM,1,0.5162846803377563
SVM,2,0.4234875444839858
SVM,3,0.5522388059701493
SVM,4,0.48284960422163586
SVM,6,0.5139072847682119
SVM,7,0.4020618556701031
SVM,8,0.64
SVM,9,0.42696629213483145
SVM,10,0.45979381443298967
SVM,11,0.4079207920792079
SVM,12,0.4563986409966025
SVM,15,0.2504854368932039
SVM,18,0.5311720698254364
SVM,19,0.5354330708661418
SVM,21,0.49774774774774777
SVM,22,0.5469613259668509
SVM,23,0.49454545454545457
SVM,24,0.5914552736982643
SVM,25,0.5581787521079258
SVM,26,0.24369747899159663
SVM,27,0.5397815912636506
SVM,28,0.44536817102137766
SVM,29,0.4264264264264264
SVM,30,0.548502994011976
LDA,1,0.5066344993968637
LDA,2,0.36061684460260973
LDA,3,0.7164179104477612
LDA,4,0.5131926121372031
LDA,6,0.495364238410596
LDA,7,0.4162371134020619
LDA,8,0.6011428571428571
LDA,9,0.5067415730337078
LDA,10,0.6164948453608248
LDA,11,0.3801980198019802
LDA,12,0.36126840317100795
LDA,15,0.36699029126213595
LDA,18,0.5698254364089775
LDA,19,0.5748031496062992
LDA,21,0.5484234234234234
LDA,22,0.5016574585635359
LDA,23,0.5187878787878788
LDA,24,0.5660881174899867
LDA,25,0.7234401349072512
LDA,26,0.22268907563025211
LDA,27,0.6879875195007801
LDA,28,0.6021377672209026
LDA,29,0.7042042042042042
LDA,30,0.5053892215568863
KNN,1,0.5753920386007237
KNN,2,0.4483985765124555
KNN,3,0.5313432835820896
KNN,4,0.4525065963060686
KNN,6,0.5086092715231788
KNN,7,0.47680412371134023
KNN,8,0.5462857142857143
KNN,9,0.5393258426966292
KNN,10,0.5525773195876289
KNN,11,0.5405940594059406
KNN,12,0.4869762174405436
KNN,15,0.46601941747572817
KNN,18,0.5411471321695761
KNN,19,0.5736782902137233
KNN,21,0.5146396396396397
KNN,22,0.5502762430939226
KNN,23,0.5066666666666667
KNN,24,0.5340453938584779
KNN,25,0.4957841483979764
KNN,26,0.3739495798319328
KNN,27,0.514820592823713
KNN,28,0.5083135391923991
KNN,29,0.5135135135135135
KNN,30,0.5568862275449101
RandomForest,1,0.5524728588661038
RandomForest,2,0.4543297746144721
RandomForest,3,0.5447761194029851
RandomForest,4,0.4656992084432718
RandomForest,6,0.5086092715231788
RandomForest,7,0.4497422680412371
RandomForest,8,0.5828571428571429
RandomForest,9,0.5067415730337078
RandomForest,10,0.5711340206185567
RandomForest,11,0.5326732673267327
RandomForest,12,0.48357870894677235
RandomForest,15,0.39029126213592236
RandomForest,18,0.5124688279301746
RandomForest,19,0.5635545556805399
RandomForest,21,0.5101351351351351
RandomForest,22,0.4453038674033149
RandomForest,23,0.4703030303030303
RandomForest,24,0.5420560747663551
RandomForest,25,0.5328836424957841
RandomForest,26,0.32212885154061627
RandomForest,27,0.5054602184087363
RandomForest,28,0.4821852731591449
RandomForest,29,0.49099099099099097
RandomForest,30,0.5293413173652695
