participant,classifier,mean_accuracy,std_accuracy
1,LogisticRegression,0.815399781,0.039922487
1,SVM,0.846776196,0.021967752
1,LDA,0.799722526,0.04077324
1,KNN,0.821474991,0.018075061
1,RandomForest,0.844359255,0.01911713
2,LogisticRegression,0.94898563,0.009655325
2,SVM,0.951387715,0.011395617
2,LDA,0.944230769,0.009734912
2,KNN,0.949006762,0.007964987
2,RandomForest,0.945435334,0.004415698
3,LogisticRegression,0.962686567,0.017017544
3,SVM,0.964179104,0.014470686
3,LDA,0.959701493,0.010122881
3,KNN,0.96119403,0.009900373
3,RandomForest,0.96119403,0.016620192
4,LogisticRegression,0.915658766,0.037419885
4,SVM,0.944623562,0.028967528
4,LDA,0.903799233,0.040323842
4,KNN,0.938018473,0.03129614
4,RandomForest,0.93935169,0.017756141
6,LogisticRegression,0.924503311,0.027971804
6,SVM,0.927152318,0.035786109
6,LDA,0.916556291,0.028592097
6,KNN,0.915231788,0.043808836
6,RandomForest,0.920529801,0.038842062
7,LogisticRegression,0.875020678,0.029772999
7,SVM,0.89560794,0.034507164
7,LDA,0.875037221,0.026726121
7,KNN,0.88401158,0.039373602
7,RandomForest,0.894292804,0.032371627
8,LogisticRegression,0.740571429,0.019327468
8,SVM,0.869714286,0.029670297
8,LDA,0.746285714,0.019327468
8,KNN,0.864,0.020571429
8,RandomForest,0.872,0.018285714
9,LogisticRegression,0.897752809,0.047191011
9,SVM,0.947191011,0.021495648
9,LDA,0.891011236,0.042873672
9,KNN,0.94494382,0.022302734
9,RandomForest,0.946067416,0.013103263
10,LogisticRegression,0.888659794,0.063349656
10,SVM,0.898969072,0.056990825
10,LDA,0.87628866,0.071721761
10,KNN,0.890721649,0.052405217
10,RandomForest,0.901030928,0.052405217
11,LogisticRegression,0.958415842,0.007409223
11,SVM,0.964356436,0.004850475
11,LDA,0.962376238,0.007409223
11,KNN,0.964356436,0.007920792
11,RandomForest,0.96039604,0.018785808
12,LogisticRegression,0.879917822,0.019334042
12,SVM,0.904834361,0.023740987
12,LDA,0.875365948,0.024869012
12,KNN,0.907100668,0.012464438
12,RandomForest,0.903691577,0.020158119
15,LogisticRegression,0.953398058,0.019802018
15,SVM,0.970873786,0.016245826
15,LDA,0.951456311,0.021270779
15,KNN,0.970873786,0.010635389
15,RandomForest,0.961165049,0.018421035
18,LogisticRegression,0.960108696,0.009269764
18,SVM,0.958850932,0.011545869
18,LDA,0.94886646,0.009239372
18,KNN,0.958858696,0.009284409
18,RandomForest,0.957600932,0.010714916
19,LogisticRegression,0.967364946,0.012562306
19,SVM,0.976366406,0.01303636
19,LDA,0.971859328,0.015131628
19,KNN,0.980879832,0.008403214
19,RandomForest,0.97302736,0.017179824
21,LogisticRegression,0.971846632,0.011808879
21,SVM,0.978607249,0.013035253
21,LDA,0.972982924,0.010282882
21,KNN,0.976347362,0.013048453
21,RandomForest,0.968450454,0.011079247
22,LogisticRegression,0.923756906,0.026930514
22,SVM,0.904972376,0.028473146
22,LDA,0.837569061,0.026288127
22,KNN,0.88839779,0.033406003
22,RandomForest,0.93038674,0.026054864
23,LogisticRegression,0.984242424,0.010567028
23,SVM,0.983030303,0.008040303
23,LDA,0.978181818,0.008221006
23,KNN,0.979393939,0.008221006
23,RandomForest,0.980606061,0.004535342
24,LogisticRegression,0.814389262,0.05563102
24,SVM,0.831767338,0.043112623
24,LDA,0.843749441,0.045112906
24,KNN,0.841118568,0.031676866
24,RandomForest,0.827785235,0.031866512
25,LogisticRegression,0.956174334,0.012334096
25,SVM,0.961230594,0.01260851
25,LDA,0.952798747,0.0156025
25,KNN,0.961202108,0.004235079
25,RandomForest,0.961187865,0.011550877
26,LogisticRegression,0.956564562,0.020980269
26,SVM,0.964975869,0.015972841
26,LDA,0.945375751,0.020465767
26,KNN,0.960780065,0.011377444
26,RandomForest,0.96638432,0.01356538
27,LogisticRegression,0.979784399,0.02278608
27,SVM,0.981322674,0.015175908
27,LDA,0.965758236,0.027968365
27,KNN,0.985998062,0.015049211
27,RandomForest,0.967296512,0.025706361
28,LogisticRegression,0.815919977,0.051663914
28,SVM,0.921661031,0.02573599
28,LDA,0.794526627,0.037887742
28,KNN,0.927535926,0.015313687
28,RandomForest,0.922809242,0.015485802
29,LogisticRegression,0.95645831,0.008757829
29,SVM,0.972977219,0.01124146
29,LDA,0.95645831,0.005610145
29,KNN,0.968465941,0.012941356
29,RandomForest,0.965458422,0.018181357
30,LogisticRegression,0.881437126,0.025517696
30,SVM,0.901796407,0.017188862
30,LDA,0.881437126,0.030860117
30,KNN,0.91257485,0.010440477
30,RandomForest,0.895808383,0.017188862
