classifier,band,avg_accuracy,std_accuracy
KNN,alpha,0.9313536301625063,0.046367647622470205
KNN,beta,0.9313536301625063,0.046367647622470205
KNN,theta,0.9313536301625063,0.046367647622470205
LDA,alpha,0.9063081445064275,0.06488426593874884
LDA,beta,0.9063081445064275,0.06488426593874884
LDA,theta,0.9063081445064275,0.06488426593874884
LogisticRegression,alpha,0.9135417588148022,0.06383598266535935
LogisticRegression,beta,0.9135417588148022,0.06383598266535935
LogisticRegression,theta,0.9135417588148022,0.06383598266535935
RandomForest,alpha,0.9328423387906796,0.042101503353046896
RandomForest,beta,0.933083709039698,0.04207529634315073
RandomForest,theta,0.9323195142878961,0.04132132157691218
SVM,alpha,0.9343010077701249,0.043672518572467685
SVM,beta,0.9343010077701249,0.043672518572467685
SVM,theta,0.9343010077701249,0.043672518572467685
