participant,classifier,band,mean_accuracy,std_accuracy
1,LogisticRegression,theta,0.7478714859437752,0.03996207941088759
1,LogisticRegression,alpha,0.7828696604600218,0.02667499301170827
1,LogisticRegression,beta,0.7732384081781672,0.0114720579914214
1,SVM,theta,0.7514932457101132,0.023761607279383447
1,SVM,alpha,0.7720262869660459,0.03554243701135927
1,SVM,beta,0.8178459291712304,0.019636862372936142
1,LDA,theta,0.7466666666666667,0.03440846108852782
1,LDA,alpha,0.7828623585250092,0.02416987477055611
1,LDA,beta,0.7599488864549105,0.008056983019610794
1,KNN,theta,0.7382475355969332,0.012209494768644745
1,KNN,alpha,0.7418985031033223,0.030745209896214536
1,KNN,beta,0.797364001460387,0.03280243772276386
1,RandomForest,theta,0.7370427163198248,0.012179194205374277
1,RandomForest,alpha,0.7780430814165754,0.02987003404448762
1,RandomForest,beta,0.7925155166119022,0.01817052453380824
2,LogisticRegression,theta,0.7840377571146803,0.03864682651044646
2,LogisticRegression,alpha,0.8742744435052128,0.018775419219996464
2,LogisticRegression,beta,0.9739222316145393,0.011565098264526352
2,SVM,theta,0.7887926176387715,0.03283284106602923
2,SVM,alpha,0.8718794026486334,0.011693129233159776
2,SVM,beta,0.9750986193293885,0.005766215322626399
2,LDA,theta,0.7793251620174697,0.03730672239230545
2,LDA,alpha,0.8778529163144547,0.022503015878905522
2,LDA,beta,0.9727317554240631,0.010287973674058263
2,KNN,theta,0.7686460974922513,0.024907966710008868
2,KNN,alpha,0.8588475626937164,0.014122047208620725
2,KNN,beta,0.9667864187094957,0.013320167565761178
2,RandomForest,theta,0.7745703014933785,0.033905912136553286
2,RandomForest,alpha,0.8469709777402086,0.007959876519330666
2,RandomForest,beta,0.9573119188503805,0.013680192761082266
3,LogisticRegression,theta,0.9238805970149254,0.00558456326384172
3,LogisticRegression,alpha,0.9104477611940298,0.015653863405524642
3,LogisticRegression,beta,0.9656716417910447,0.017405826551777033
3,SVM,theta,0.9208955223880597,0.010122880571828788
3,SVM,alpha,0.908955223880597,0.018521900964165464
3,SVM,beta,0.9597014925373134,0.01607511882726716
3,LDA,theta,0.926865671641791,0.011940298507462721
3,LDA,alpha,0.917910447761194,0.016349927089706447
3,LDA,beta,0.9567164179104477,0.0029850746268656803
3,KNN,theta,0.9164179104477611,0.02378713052314813
3,KNN,alpha,0.9119402985074627,0.023314178137034805
3,KNN,beta,0.964179104477612,0.010967864519924668
3,RandomForest,theta,0.9253731343283581,0.013349659567162924
3,RandomForest,alpha,0.9208955223880597,0.018641785069845956
3,RandomForest,beta,0.9567164179104477,0.01096786451992471
4,LogisticRegression,theta,0.8496340188218892,0.01908146195773102
4,LogisticRegression,alpha,0.8693621470895783,0.04416111156224296
4,LogisticRegression,beta,0.9115632624607877,0.02889075968682433
4,SVM,theta,0.8668002788428024,0.023921085592144106
4,SVM,alpha,0.9036946671314047,0.026535067648833018
4,SVM,beta,0.9392906936214709,0.013555566809709372
4,LDA,theta,0.8535813872429419,0.02169953068336217
4,LDA,alpha,0.8654147786685258,0.03936099366398274
4,LDA,beta,0.8891512722202858,0.04031031433545679
4,KNN,theta,0.8654322063436737,0.03260018416354232
4,KNN,alpha,0.9076507493900314,0.019524492112029748
4,KNN,beta,0.9459132101777621,0.01340588157222573
4,RandomForest,theta,0.8733530846985011,0.02267261836258569
4,RandomForest,alpha,0.8997472987103521,0.01919177969076831
4,RandomForest,beta,0.9353694667131405,0.014604703722031515
6,LogisticRegression,theta,0.7827814569536423,0.025269912620316436
6,LogisticRegression,alpha,0.8728476821192054,0.015894039735099355
6,LogisticRegression,beta,0.9178807947019866,0.043648363055057184
6,SVM,theta,0.7827814569536424,0.031175105419708134
6,SVM,alpha,0.8741721854304636,0.026819147988498795
6,SVM,beta,0.9298013245033111,0.043648363055057156
6,LDA,theta,0.7814569536423842,0.029319130624077684
6,LDA,alpha,0.87682119205298,0.012282938404630083
6,LDA,beta,0.9152317880794701,0.04133638817040328
6,KNN,theta,0.7721854304635761,0.03568793002730458
6,KNN,alpha,0.8582781456953642,0.027656441083206747
6,KNN,beta,0.9298013245033111,0.050191510785420966
6,RandomForest,theta,0.7682119205298013,0.02477918799188042
6,RandomForest,alpha,0.856953642384106,0.023914529914261982
6,RandomForest,beta,0.9139072847682119,0.0456905650613519
7,LogisticRegression,theta,0.8209015715467329,0.015686787639447218
7,LogisticRegression,alpha,0.8621091811414392,0.041342929123928826
7,LogisticRegression,beta,0.8814061207609594,0.030805514151487072
7,SVM,theta,0.8312241521918942,0.016555371411946237
7,SVM,alpha,0.8685525227460712,0.03863602814651709
7,SVM,beta,0.8904383788254757,0.0271497032472548
7,LDA,theta,0.8312241521918942,0.017532226607876757
7,LDA,alpha,0.8634077750206781,0.04147040061834963
