classifier,participant_left_out,score
LogisticRegression,1,0.5379975874547648
LogisticRegression,2,0.3997627520759193
LogisticRegression,3,0.5044776119402985
LogisticRegression,4,0.5197889182058048
LogisticRegression,6,0.495364238410596
LogisticRegression,7,0.4536082474226804
LogisticRegression,8,0.6777142857142857
LogisticRegression,9,0.5078651685393258
LogisticRegression,10,0.5752577319587628
LogisticRegression,11,0.4415841584158416
LogisticRegression,12,0.32955832389580975
LogisticRegression,15,0.5320388349514563
LogisticRegression,18,0.5748129675810474
LogisticRegression,19,0.42407199100112486
LogisticRegression,21,0.5495495495495496
LogisticRegression,22,0.4662983425414365
LogisticRegression,23,0.44606060606060605
LogisticRegression,24,0.5500667556742324
LogisticRegression,25,0.5261382799325464
LogisticRegression,26,0.35014005602240894
LogisticRegression,27,0.6209048361934477
LogisticRegression,28,0.5819477434679335
LogisticRegression,29,0.6516516516516516
LogisticRegression,30,0.5293413173652695
SVM,1,0.5126658624849216
SVM,2,0.4804270462633452
SVM,3,0.4462686567164179
SVM,4,0.5382585751978892
SVM,6,0.5801324503311258
SVM,7,0.5012886597938144
SVM,8,0.5954285714285714
SVM,9,0.45617977528089887
SVM,10,0.5814432989690722
SVM,11,0.5207920792079208
SVM,12,0.36126840317100795
SVM,15,0.44271844660194176
SVM,18,0.543640897755611
SVM,19,0.45106861642294716
SVM,21,0.4752252252252252
SVM,22,0.48066298342541436
SVM,23,0.46424242424242423
SVM,24,0.4539385847797063
SVM,25,0.4806070826306914
SVM,26,0.32072829131652664
SVM,27,0.5616224648985959
SVM,28,0.5736342042755345
SVM,29,0.4174174174174174
SVM,30,0.48982035928143713
LDA,1,0.5379975874547648
LDA,2,0.398576512455516
LDA,3,0.5044776119402985
LDA,4,0.5197889182058048
LDA,6,0.49403973509933774
LDA,7,0.4536082474226804
LDA,8,0.6777142857142857
LDA,9,0.5078651685393258
LDA,10,0.5773195876288659
LDA,11,0.4415841584158416
LDA,12,0.32955832389580975
LDA,15,0.5262135922330097
LDA,18,0.5773067331670823
LDA,19,0.4251968503937008
LDA,21,0.5495495495495496
LDA,22,0.4662983425414365
LDA,23,0.44363636363636366
LDA,24,0.5500667556742324
LDA,25,0.5261382799325464
LDA,26,0.35014005602240894
LDA,27,0.6209048361934477
LDA,28,0.5831353919239906
LDA,29,0.6531531531531531
LDA,30,0.5305389221556887
KNN,1,0.5150784077201448
KNN,2,0.501779359430605
KNN,3,0.5119402985074627
KNN,4,0.5026385224274407
KNN,6,0.5125827814569537
KNN,7,0.520618556701031
KNN,8,0.52
KNN,9,0.48089887640449436
KNN,10,0.5484536082474227
KNN,11,0.5326732673267327
KNN,12,0.4043035107587769
KNN,15,0.429126213592233
KNN,18,0.5698254364089775
KNN,19,0.5084364454443194
KNN,21,0.48536036036036034
KNN,22,0.5193370165745856
KNN,23,0.44363636363636366
KNN,24,0.4392523364485981
KNN,25,0.4924114671163575
KNN,26,0.42016806722689076
KNN,27,0.5351014040561622
KNN,28,0.5249406175771971
KNN,29,0.3633633633633634
KNN,30,0.481437125748503
RandomForest,1,0.53437876960193
RandomForest,2,0.49110320284697506
RandomForest,3,0.44029850746268656
RandomForest,4,0.48548812664907653
RandomForest,6,0.49933774834437084
RandomForest,7,0.5489690721649485
RandomForest,8,0.6194285714285714
RandomForest,9,0.4898876404494382
RandomForest,10,0.5752577319587628
RandomForest,11,0.5346534653465347
RandomForest,12,0.4043035107587769
RandomForest,15,0.42524271844660194
RandomForest,18,0.5561097256857855
RandomForest,19,0.45556805399325084
RandomForest,21,0.5180180180180181
RandomForest,22,0.46187845303867403
RandomForest,23,0.45696969696969697
RandomForest,24,0.39118825100133514
RandomForest,25,0.4688026981450253
RandomForest,26,0.3081232492997199
RandomForest,27,0.5741029641185648
RandomForest,28,0.5724465558194775
RandomForest,29,0.4744744744744745
RandomForest,30,0.444311377245509
