classifier,band,avg_accuracy,std_accuracy
KNN,alpha,0.8755132983307381,0.05418188840954293
KNN,beta,0.9322086372923898,0.0504206494314216
KNN,theta,0.8525413293480328,0.06493748548492836
LDA,alpha,0.8727809713453856,0.05904807080909169
LDA,beta,0.9089644145797179,0.0652027886446681
LDA,theta,0.8482817732357195,0.06557830700541477
LogisticRegression,alpha,0.8735216109431593,0.057790373009157
LogisticRegression,beta,0.918643658411444,0.06311526298417192
LogisticRegression,theta,0.8492358700572806,0.06560601677212298
RandomForest,alpha,0.8814623786215874,0.04893986258476473
RandomForest,beta,0.9292764179530996,0.048691407624859386
RandomForest,theta,0.8535760548400267,0.06259575177482919
SVM,alpha,0.8847480876425959,0.048707695373457954
SVM,beta,0.9324231070648196,0.0470292150587787
SVM,theta,0.8628702363225592,0.057478319306454626
