participant,classifier,mean_accuracy,std_accuracy
1,LogisticRegression,0.5669076305220884,0.020838072234047485
1,SVM,0.5668273092369478,0.05198258048977772
1,LDA,0.5693245710113181,0.01935363239529882
1,KNN,0.5367944505293903,0.021925187968444393
1,RandomForest,0.5439430449069004,0.038046757433893796
2,LogisticRegression,0.6002183713722176,0.028030416378746904
2,SVM,0.5871231332769794,0.035929912338925875
2,LDA,0.5978374189912652,0.028846066975691007
2,KNN,0.5540011270780502,0.012212388505931085
2,RandomForest,0.5634474499859115,0.029233566557007085
3,LogisticRegression,0.7597014925373136,0.02644782857711843
3,SVM,0.7746268656716417,0.03758112928959454
3,LDA,0.7626865671641792,0.03383816133956607
3,KNN,0.7119402985074628,0.0478078130687969
3,RandomForest,0.726865671641791,0.03455473702325443
4,LogisticRegression,0.64252352736145,0.025914993965327388
4,SVM,0.6781021261763681,0.03763954622299453
4,LDA,0.64252352736145,0.025914993965327388
4,KNN,0.6569536423841059,0.03591579801859263
4,RandomForest,0.6702422446845591,0.030378287480126293
6,LogisticRegression,0.6596026490066226,0.028283650998758444
6,SVM,0.6569536423841059,0.019823350393504347
6,LDA,0.656953642384106,0.03145521082659053
6,KNN,0.6185430463576158,0.01600403440211201
6,RandomForest,0.6291390728476822,0.031343469049534375
7,LogisticRegression,0.7899007444168734,0.03818596546733159
7,SVM,0.8092390405293631,0.03680190293546008
7,LDA,0.7976426799007444,0.0354248237648841
7,KNN,0.7783126550868487,0.02983435274082703
7,RandomForest,0.8002233250620348,0.0359683731906598
8,LogisticRegression,0.6137142857142858,0.011766434446842281
8,SVM,0.6251428571428572,0.024934199119167347
8,LDA,0.6182857142857142,0.014635712542703655
8,KNN,0.616,0.029670297110279235
8,RandomForest,0.5885714285714286,0.034285714285714294
9,LogisticRegression,0.8033707865168539,0.03843287949772376
9,SVM,0.849438202247191,0.01991016308614534
9,LDA,0.8067415730337079,0.03836712602014355
9,KNN,0.8179775280898877,0.009795278524810526
9,RandomForest,0.8415730337078651,0.01681643769336602
10,LogisticRegression,0.6762886597938145,0.016750594648733932
10,SVM,0.7463917525773196,0.020201977260067443
10,LDA,0.6762886597938145,0.027353606518395038
10,KNN,0.71340206185567,0.04628854499101783
10,RandomForest,0.7360824742268042,0.045454448835151776
11,LogisticRegression,0.7643564356435644,0.03155916326833513
