Participant_ID,Significant_Channels
1,"2L, 2RD, 3L, 3LD, 3RD, 4LC, 4RC, 4RD, 5RB, 5RC"
2,"3RC, 4LB"
3,"1LB, 1LC, 1LD, 2LB, 2LC, 2LD, 3LB, 8Z"
4,"10L, 1LD, 1RA, 1RD, 2LD, 2RA, 2RD, 3LA, 3LC, 3LD, 3RD, 4LB, 4LC, 4LD, 4RB, 4RC, 4RD, 5LB, 5LC, 5R, 7L, 8L, 9R, 9Z"
6,"1Z, 3LB, 3LC"
7,"2RA, 3RA, 3RB, 3RC, 3RD, 4RB, 4RC, 4RD, 5R, 5RB, 6R, 6Z, 7R, 7Z, 9L"
8,"10L, 1LB, 1LC, 1LD, 1RB, 2LD, 3LC, 3LD, 4LB, 4LC, 4LD, 4R, 4RC, 4Z, 5LB, 5LC, 6Z, 7L, 8L, 8Z, 9Z"
9,"10L, 10R, 1L, 1LA, 1LB, 1R, 1RA, 1RB, 1RC, 1RD, 1Z, 2L, 2LB, 2R, 2RA, 2RB, 2RC, 2RD, 2Z, 3L, 3LD, 3R, 3RA, 3RB, 3RC, 3RD, 3Z, 4L, 4LC, 4LD, 4R, 4RB, 4RC, 4RD, 4Z, 5LB, 5LC, 5R, 5RB, 5RC, 6L, 6R, 6Z, 7L, 7R, 7Z, 8L, 8R, 8Z, 9L, 9R, 9Z"
10,"10R, 1L, 1LB, 1LC, 1LD, 1RA, 1RC, 2LB, 2LC, 2RB, 2RC, 2RD, 2Z, 3L, 3LD, 3R, 3RC, 3Z, 4LB, 4LC, 4R, 4RB, 4RC, 4RD, 5R, 5RB, 5RC, 7R, 7Z, 8L, 8R, 8Z, 9L, 9R, 9Z"
11,"1LD, 1Z, 2Z, 3L, 3RA, 3RC, 4LD, 4RB, 5LC, 6R, 7Z, 8Z"
12,"10L, 1L, 1LA, 1LB, 1LC, 1LD, 1RA, 2L, 2LB, 2LC, 2LD, 2RA, 2RB, 2RC, 2RD, 3L, 3LB, 3LC, 3LD, 3RB, 3RC, 3RD, 4LD, 4R, 5LB, 5LC, 5R, 5RB, 6R, 7L, 7R, 8L"
15,"1L, 1LA, 1LB, 1LC, 1LD, 1R, 1RA, 1RB, 1RC, 1RD, 1Z, 2L, 2LB, 2LC, 2LD, 2R, 2RA, 2RB, 2RC, 2RD, 2Z, 3L, 3LB, 3LD, 3R, 3RA, 3RB, 3RC, 3RD, 3Z, 4L, 4LB, 4LC, 4R, 4RB, 4RC, 4RD, 5LB, 5RB, 5RC, 8R, 9R"
18,"10L, 10R, 1LD, 1R, 2LA, 2LB, 2RB, 2RD, 3LC, 3RB, 3RC, 3RD, 4LD, 4RB, 4RD, 4Z, 6L, 9L, 9R"
19,"1LD, 2LB, 2R, 3L, 3LA, 3LB, 3R, 3RA, 3RD, 3Z, 4LB, 4LD, 4RC, 5L, 5RB, 5RC, 6L, 6R, 7R, 8R, 9R"
21,"10L, 10R, 1LD, 1RA, 2LB, 2LC, 2LD, 2RA, 2RB, 2RC, 2RD, 3L, 3LA, 3LC, 3LD, 3R, 3RA, 3RC, 3RD, 3Z, 4LB, 4LC, 4LD, 4R, 4RB, 4RC, 4RD, 4Z, 5LB, 5LC, 5R, 5RC, 6L, 6Z, 7L, 7R, 7Z, 8L, 8R, 9L, 9R"
22,"10L, 10R, 1L, 1LA, 1LB, 1LC, 1LD, 1R, 1RA, 1RB, 1RC, 1RD, 2L, 2LA, 2LB, 2LC, 2LD, 2R, 2RA, 2RB, 2RC, 2RD, 3LA, 3LB, 3LD, 3R, 3RA, 3RB, 3RC, 3RD, 4LB, 4LC, 4LD, 4R, 4RB, 4RC, 4RD, 5LC, 5RB, 5RC, 6R, 8L, 8R, 8Z, 9L, 9R, 9Z"
23,"1LB, 1LD, 1RA, 1RB, 1RC, 1RD, 2LB, 2LC, 2LD, 2R, 2RA, 2RB, 2RC, 3LB, 3R, 3RB, 3RC, 4R, 4RB, 4Z, 7L"
24,"1LB, 1LC, 1LD, 1R, 1RC, 1RD, 2LB, 2LD, 2RC, 2RD, 3RC, 3RD, 4LC, 4RC, 4RD, 5RC"
25,"1L, 1LB, 1LC, 1R, 1RB, 2LA, 2LB, 2RB, 3LB, 3LC, 3LD, 4LB, 4LC, 4RC"
26,"10L, 10R, 1L, 1LA, 1LB, 1LC, 1LD, 1R, 1RA, 1RB, 1RC, 1RD, 1Z, 2L, 2LA, 2LB, 2LC, 2LD, 2R, 2RB, 2RC, 2RD, 2Z, 3L, 3LB, 3LC, 3LD, 3R, 3RB, 3RC, 3RD, 3Z, 4LB, 4LC, 4LD, 4R, 4RB, 4RC, 4RD, 5L, 5LB, 5LC, 5RB, 5RC, 6R, 8R, 8Z, 9L, 9R, 9Z"
27,"1LA, 1LC, 1LD, 2LB, 2LC, 3LB, 3LC, 3RA, 4RB"
28,"10R, 1LA, 1LB, 1RC, 1RD, 2LA, 2LB, 2RC, 2RD, 4L, 4LB, 4RC, 5L, 5R, 5RC, 6R, 6Z, 7L, 9R"
29,"10L, 1RA, 1RB, 1RC, 2RA, 2RB, 2RC, 2RD, 3LB, 3LC, 3R, 3RA, 3RB, 3RC, 3Z, 4LC, 4R, 4RB, 4RC, 5LC, 5RC, 6R, 7L, 8L, 8Z, 9L, 9R, 9Z"
30,"10R, 1LA, 1LB, 1LD, 1R, 1RA, 1RB, 1RC, 1Z, 2L, 2LA, 2LB, 2LC, 2LD, 2R, 2RB, 2Z, 3L, 3LB, 3LD, 3R, 3RC, 3RD, 4LC, 4RB, 4RD, 5RC, 9R"
