band,channel,coef,p_value,p_value_corrected,significant
theta,1Z,-6.695351465512852e-14,0.15470092482278436,0.9962021826234793,False
theta,2Z,-5.989728551217882e-14,0.09197616792743957,0.9962021826234793,False
theta,3Z,-1.3827703221812685e-14,0.6826333624790143,0.9962021826234793,False
theta,4Z,-3.441790924982029e-14,0.022706676516919135,0.9962021826234793,False
theta,6Z,-1.1022838125899407e-14,0.44487563719405177,0.9962021826234793,False
theta,7Z,-2.847205984043368e-14,0.31831321736144413,0.9962021826234793,False
theta,8Z,-6.590369662944194e-14,0.13563589144042945,0.9962021826234793,False
theta,9Z,-1.0268510325295587e-13,0.0512799584762215,0.9962021826234793,False
theta,1L,-8.425923621622922e-14,0.09496536428210041,0.9962021826234793,False
theta,2L,-4.825325375083575e-14,0.17894817106503957,0.9962021826234793,False
theta,3L,-1.2216398032563456e-14,0.6823092789327879,0.9962021826234793,False
theta,4L,5.021279231709004e-15,0.7886870002617372,0.9962021826234793,False
theta,5L,1.6391926743057745e-14,0.19070140810044867,0.9962021826234793,False
theta,6L,-1.8360978945804912e-15,0.8619357731335497,0.9962021826234793,False
theta,7L,-2.2297754323213804e-14,0.23709555726962717,0.9962021826234793,False
theta,8L,-6.208466240421019e-14,0.04936842711579265,0.9962021826234793,False
theta,9L,-8.311274956313629e-14,0.10275413238695033,0.9962021826234793,False
theta,10L,-1.1686295951293235e-13,0.07521311969527371,0.9962021826234793,False
theta,1R,-6.152433915698189e-14,0.2971770569396801,0.9962021826234793,False
theta,2R,-2.4569752381770923e-14,0.602438830018319,0.9962021826234793,False
theta,3R,-2.0055596705613713e-14,0.5469543312296975,0.9962021826234793,False
theta,4R,-1.8274275755455127e-14,0.3529300940992304,0.9962021826234793,False
theta,5R,-5.161945946444349e-15,0.6960166314094363,0.9962021826234793,False
theta,6R,7.680886185899583e-15,0.5579169791184626,0.9962021826234793,False
theta,7R,-2.488121565779655e-14,0.41484756521129684,0.9962021826234793,False
theta,8R,-3.223636784360174e-14,0.43156197490878523,0.9962021826234793,False
theta,9R,-5.667231568822028e-14,0.3375324488053387,0.9962021826234793,False
theta,10R,-1.0938169437236143e-13,0.14385075263667443,0.9962021826234793,False
theta,1LA,-3.0865642170913336e-15,0.9018884390271323,0.9962021826234793,False
theta,2LA,-1.1934699535075226e-14,0.4744401280258119,0.9962021826234793,False
theta,3LA,1.8720216672159155e-16,0.989796197779553,0.9962021826234793,False
theta,1LB,-5.2454009438774076e-14,0.33524154976922704,0.9962021826234793,False
theta,2LB,-3.558255678211007e-14,0.4481735760843657,0.9962021826234793,False
theta,3LB,-3.571796333857367e-14,0.20559908667198057,0.9962021826234793,False
theta,4LB,-3.3108419540119756e-14,0.211942458094584,0.9962021826234793,False
theta,5LB,-3.435170388008513e-14,0.5082358353940841,0.9962021826234793,False
theta,1LC,6.509907293348096e-14,0.5945220801510043,0.9962021826234793,False
theta,2LC,-4.1016712809893247e-14,0.5178514277042463,0.9962021826234793,False
theta,3LC,-7.747873349008226e-14,0.09058827288171424,0.9962021826234793,False
theta,4LC,-9.612673185523187e-14,0.04903547695585912,0.9962021826234793,False
theta,5LC,-8.133261263073099e-14,0.15833396883443385,0.9962021826234793,False
theta,1LD,1.0740875237635998e-13,0.5228507313870352,0.9962021826234793,False
theta,2LD,-6.363673001201621e-14,0.5235121171153991,0.9962021826234793,False
theta,3LD,-1.537102179654742e-13,0.04001975807880506,0.9962021826234793,False
theta,4LD,-1.0238013975527438e-13,0.22439544993748572,0.9962021826234793,False
theta,1RA,-2.5139564383608648e-14,0.43378603262029325,0.9962021826234793,False
theta,2RA,1.1878038592631959e-14,0.6734819929336975,0.9962021826234793,False
theta,3RA,-3.512980367626552e-14,0.38358987266726574,0.9962021826234793,False
theta,1RB,-4.874074071328032e-14,0.4608474175373466,0.9962021826234793,False
theta,2RB,-4.3885121001394174e-14,0.488732731877379,0.9962021826234793,False
theta,3RB,-2.127147822347685e-14,0.686052097199257,0.9962021826234793,False
theta,4RB,7.272352102360316e-15,0.8802887929169,0.9962021826234793,False
theta,5RB,-1.959922491291142e-14,0.6365162500883655,0.9962021826234793,False
theta,1RC,-6.237783047258006e-15,0.9529973515499981,0.9962021826234793,False
theta,2RC,-8.831453572146578e-14,0.3022372134195971,0.9962021826234793,False
theta,3RC,-3.9385524269254706e-14,0.562367889994023,0.9962021826234793,False
theta,4RC,-5.692257878143943e-14,0.4282914771958981,0.9962021826234793,False
theta,5RC,-2.714140199022268e-14,0.6868913398435592,0.9962021826234793,False
theta,1RD,-6.469334061497322e-14,0.6359302188488924,0.9962021826234793,False
theta,2RD,-1.7720002059615477e-13,0.10615934606367067,0.9962021826234793,False
theta,3RD,-1.3003427909351586e-13,0.19041879503337178,0.9962021826234793,False
theta,4RD,-1.5058946977623454e-13,0.2262366154991554,0.9962021826234793,False
alpha,1Z,-3.7401262112287714e-14,0.46893532708156815,0.9962021826234793,False
alpha,2Z,-1.7887772167116573e-14,0.6709746945157016,0.9962021826234793,False
alpha,3Z,2.2454132119481575e-14,0.565419850770077,0.9962021826234793,False
alpha,4Z,-1.8481630396902043e-14,0.0913676904517802,0.9962021826234793,False
alpha,6Z,6.595426282310398e-15,0.4943416269108345,0.9962021826234793,False
alpha,7Z,1.1470418919242964e-14,0.7328464386105698,0.9962021826234793,False
alpha,8Z,-9.11298193118759e-15,0.8405250124283987,0.9962021826234793,False
alpha,9Z,-2.7430672506397553e-14,0.5828824715962535,0.9962021826234793,False
alpha,1L,-6.07819746545302e-14,0.23051653425454266,0.9962021826234793,False
alpha,2L,-2.078928222659597e-14,0.6396129629826637,0.9962021826234793,False
alpha,3L,8.963986839860937e-15,0.8107517810988792,0.9962021826234793,False
alpha,4L,1.6965797261474784e-14,0.47189935414256645,0.9962021826234793,False
alpha,5L,1.3227317695628044e-14,0.3137735859386146,0.9962021826234793,False
alpha,6L,1.328709372064792e-14,0.17417589321290106,0.9962021826234793,False
alpha,7L,1.0750893949971154e-14,0.4411953421969851,0.9962021826234793,False
alpha,8L,3.006115535902152e-15,0.9161720011558396,0.9962021826234793,False
alpha,9L,-3.7203486877925385e-15,0.9341166649646895,0.9962021826234793,False
alpha,10L,-1.855859253935128e-14,0.7655413249190426,0.9962021826234793,False
alpha,1R,-5.0543828909877933e-14,0.36401412284114554,0.9962021826234793,False
alpha,2R,-1.2817048146437885e-14,0.7925605633214687,0.9962021826234793,False
alpha,3R,-1.9572235148842202e-16,0.995538266055086,0.9962021826234793,False
alpha,4R,8.753708582251606e-15,0.6499508706331453,0.9962021826234793,False
alpha,5R,9.239534275223216e-15,0.34751575101748566,0.9962021826234793,False
alpha,6R,9.972805495919102e-15,0.4566733452808762,0.9962021826234793,False
alpha,7R,-1.6942706043888826e-15,0.9561527878113766,0.9962021826234793,False
alpha,8R,1.108717780060297e-14,0.8143060814724328,0.9962021826234793,False
alpha,9R,1.517628252836556e-14,0.7962841952940669,0.9962021826234793,False
alpha,10R,-1.5364171320604855e-14,0.8347288775749869,0.9962021826234793,False
alpha,1LA,-2.986531493228977e-15,0.9159562851494364,0.9962021826234793,False
alpha,2LA,-6.4836416945536415e-15,0.7910354402046426,0.9962021826234793,False
alpha,3LA,1.7419100840497457e-14,0.3884358749941388,0.9962021826234793,False
alpha,1LB,-2.2182532713940136e-14,0.6819639767619665,0.9962021826234793,False
