band,channel,coef,p_value,p_value_corrected,significant
theta,1Z,-8.351710646541741e-05,0.031067679367276325,0.19808470643961507,False
theta,2Z,-8.627666747256219e-05,0.1694774948867671,0.3389549897735342,False
theta,3Z,-0.0001140729462060832,0.0616282719686708,0.24491792079115518,False
theta,4Z,-4.0276002824149116e-05,0.5007443141206185,0.5784996424002177,False
theta,6Z,-5.4105890139455415e-05,0.2969636707778528,0.41345382797292346,False
theta,7Z,-2.8471212971971485e-05,0.5289046526889181,0.5962197903038713,False
theta,8Z,-4.6679581291986264e-05,0.22150328707360067,0.3775608090638956,False
theta,9Z,-3.859009210424438e-05,0.32115076775254603,0.42667173429981115,False
theta,1L,-5.8551680168753137e-05,0.19081204786659944,0.36206550993229347,False
theta,2L,-9.55457337888722e-05,0.05661900754216833,0.24491792079115518,False
theta,3L,-7.551955719454794e-05,0.19465887630768464,0.36206550993229347,False
theta,4L,-7.038374952213544e-05,0.234137620478448,0.3888310641344685,False
theta,5L,-6.336473931613079e-05,0.22018796944758545,0.3775608090638956,False
theta,6L,-5.170635307871629e-05,0.25811200157827263,0.3967672090376753,False
theta,7L,-8.161939975323059e-05,0.0801723364346718,0.25970257508919325,False
theta,8L,-7.826717256954265e-05,0.11452849115235911,0.2878689101937675,False
theta,9L,-7.351556155645557e-05,0.047332569462893305,0.24491792079115518,False
theta,10L,-4.7682438231120156e-05,0.25221877719033237,0.39526706960773056,False
theta,1R,-0.00011929674980578737,0.004383272331782662,0.08152886537115751,False
theta,2R,-0.0001051993151645033,0.04930555644128763,0.24491792079115518,False
theta,3R,-6.612816333759105e-05,0.20273100499846586,0.36609676630790927,False
theta,4R,-9.456455457334303e-05,0.09131543255876033,0.2653854758738972,False
theta,5R,-9.105695688377308e-05,0.07861625173522907,0.25970257508919325,False
theta,6R,-5.7973556406977576e-05,0.2886654842310936,0.4098609165418581,False
theta,7R,-5.284520468215025e-05,0.24081920592389883,0.38949888958126244,False
theta,8R,-0.00011307516015908676,0.017741408462258315,0.15865350788961874,False
theta,9R,-5.727771684323643e-05,0.1116981591372566,0.2878689101937675,False
theta,10R,-6.029342790887726e-05,0.2009384265582601,0.36609676630790927,False
