band,channel,coef,p_value,p_value_corrected,significant
theta,1Z,-0.00033406842586166963,0.031067679367276346,0.19808470643961668,False
theta,2Z,-0.00034510666989024833,0.169477494886768,0.338954989773536,False
theta,3Z,-0.0004562917848243327,0.06162827196867058,0.24491792079115565,False
theta,4Z,-0.0001611040112965955,0.5007443141206208,0.5784996424002203,False
theta,6Z,-0.00021642356055782166,0.2969636707778528,0.41345382797292424,False
theta,7Z,-0.00011388485188788612,0.5289046526889176,0.5962197903038707,False
theta,8Z,-0.0001867183251679451,0.22150328707360067,0.377560809063902,False
theta,9Z,-0.00015436036841697722,0.32115076775254714,0.42667173429981264,False
theta,1L,-0.00023420672067501265,0.19081204786659944,0.3620655099322928,False
theta,2L,-0.0003821829351554884,0.05661900754216856,0.24491792079115565,False
theta,3L,-0.00030207822877819165,0.1946588763076843,0.3620655099322928,False
theta,4L,-0.00028153499808854,0.23413762047845055,0.3888310641344694,False
theta,5L,-0.0002534589572645232,0.22018796944758534,0.377560809063902,False
theta,6L,-0.0002068254123148658,0.2581120015782712,0.3967672090376731,False
theta,7L,-0.0003264775990129219,0.08017233643467252,0.2597025750891972,False
theta,8L,-0.00031306869027817057,0.11452849115235897,0.28786891019376715,False
theta,9L,-0.0002940622462258224,0.047332569462893416,0.24491792079115565,False
theta,10L,-0.0001907297529244806,0.25221877719033237,0.3952670696077312,False
theta,1R,-0.00047718699922314893,0.00438327233178268,0.08152886537115785,False
theta,2R,-0.00042079726065801345,0.049305556441287444,0.24491792079115565,False
theta,3R,-0.0002645126533503642,0.20273100499846586,0.36609676630790927,False
theta,4R,-0.0003782582182933733,0.09131543485316596,0.26538548254201355,False
theta,5R,-0.0003642278275350927,0.07861625173522876,0.2597025750891972,False
theta,6R,-0.0002318942256279103,0.2886654842310936,0.4098609165418581,False
theta,7R,-0.00021138081872860013,0.24081920592390027,0.3894988895812648,False
theta,8R,-0.000452300640636347,0.01774140846225834,0.1586535078896185,False
