band,channel,statistic,p_value,p_value_corrected,significant
theta,1Z,104.0,0.19737839698791504,0.9361394015225497,False
theta,2Z,81.0,0.04906117916107178,0.6518128088542393,False
theta,3Z,97.0,0.1355280876159668,0.9090056419372559,False
theta,4Z,73.0,0.026927709579467773,0.6518128088542393,False
theta,6Z,149.0,0.9888126850128174,0.9941576184453191,False
theta,7Z,95.0,0.12084019184112549,0.9090056419372559,False
theta,8Z,80.0,0.045679688453674316,0.6518128088542393,False
theta,9Z,67.0,0.016406655311584473,0.6518128088542393,False
theta,1L,99.0,0.15150094032287598,0.9090056419372559,False
theta,2L,117.0,0.35962629318237305,0.9694273990133534,False
theta,3L,123.0,0.45587432384490967,0.970075868978733,False
theta,4L,143.0,0.8553357124328613,0.970075868978733,False
theta,5L,104.0,0.19737839698791504,0.9361394015225497,False
theta,6L,114.0,0.3165123462677002,0.9694273990133534,False
theta,7L,117.0,0.35962629318237305,0.9694273990133534,False
theta,8L,61.0,0.009575724601745605,0.6518128088542393,False
theta,9L,73.0,0.026927709579467773,0.6518128088542393,False
theta,10L,80.0,0.045679688453674316,0.6518128088542393,False
theta,1R,110.0,0.26434290409088135,0.9361394015225497,False
theta,2R,126.0,0.5087660551071167,0.970075868978733,False
theta,3R,110.0,0.26434290409088135,0.9361394015225497,False
theta,4R,80.0,0.045679688453674316,0.6518128088542393,False
theta,5R,145.0,0.899570107460022,0.9842355293386124,False
theta,6R,145.0,0.899570107460022,0.9842355293386124,False
theta,7R,103.0,0.18750131130218506,0.9361394015225497,False
theta,8R,99.0,0.15150094032287598,0.9090056419372559,False
theta,9R,90.0,0.08937323093414307,0.8749168923026637,False
theta,10R,80.0,0.045679688453674316,0.6518128088542393,False
theta,1LA,139.0,0.7682963609695435,0.970075868978733,False
theta,2LA,140.0,0.7898378372192383,0.970075868978733,False
theta,3LA,135.0,0.6839864253997803,0.970075868978733,False
theta,1LB,135.0,0.6839864253997803,0.970075868978733,False
theta,2LB,147.0,0.944107174873352,0.9865389580137274,False
theta,3LB,122.0,0.4389305114746094,0.970075868978733,False
theta,4LB,111.0,0.27681541442871094,0.9361394015225497,False
theta,5LB,118.0,0.37475037574768066,0.970075868978733,False
theta,1LC,113.0,0.30289924144744873,0.9694273990133534,False
theta,2LC,143.0,0.8553357124328613,0.970075868978733,False
theta,3LC,111.0,0.27681541442871094,0.9361394015225497,False
theta,4LC,68.0,0.017870306968688965,0.6518128088542393,False
theta,5LC,78.0,0.03948163986206055,0.6518128088542393,False
theta,1LD,133.0,0.6431422233581543,0.970075868978733,False
theta,2LD,133.0,0.6431422233581543,0.970075868978733,False
theta,3LD,73.0,0.026927709579467773,0.6518128088542393,False
theta,4LD,66.0,0.015044927597045898,0.6518128088542393,False
theta,1RA,111.0,0.27681541442871094,0.9361394015225497,False
theta,2RA,136.0,0.704756498336792,0.970075868978733,False
theta,3RA,115.0,0.3305051326751709,0.9694273990133534,False
theta,1RB,124.0,0.47316575050354004,0.970075868978733,False
theta,2RB,108.0,0.2405325174331665,0.9361394015225497,False
theta,3RB,129.0,0.5645889043807983,0.970075868978733,False
theta,4RB,133.0,0.6431422233581543,0.970075868978733,False
theta,5RB,120.0,0.40611207485198975,0.970075868978733,False
theta,1RC,134.0,0.6634435653686523,0.970075868978733,False
theta,2RC,111.0,0.27681541442871094,0.9361394015225497,False
theta,3RC,122.0,0.4389305114746094,0.970075868978733,False
theta,4RC,90.0,0.08937323093414307,0.8749168923026637,False
theta,5RC,111.0,0.27681541442871094,0.9361394015225497,False
theta,1RD,114.0,0.3165123462677002,0.9694273990133534,False
theta,2RD,85.0,0.06464934349060059,0.7560537983389461,False
theta,3RD,86.0,0.06910169124603271,0.7560537983389461,False
theta,4RD,93.0,0.10738253593444824,0.9078705310821533,False
alpha,1Z,124.0,0.47316575050354004,0.970075868978733,False
alpha,2Z,115.0,0.3305051326751709,0.9694273990133534,False
alpha,3Z,136.0,0.704756498336792,0.970075868978733,False
alpha,4Z,101.0,0.1688096523284912,0.9234880980323342,False
alpha,6Z,119.0,0.3902466297149658,0.970075868978733,False
alpha,7Z,147.0,0.944107174873352,0.9865389580137274,False
alpha,8Z,127.0,0.5270590782165527,0.970075868978733,False
alpha,9Z,103.0,0.18750131130218506,0.9361394015225497,False
alpha,1L,119.0,0.3902466297149658,0.970075868978733,False
alpha,2L,137.0,0.7257407903671265,0.970075868978733,False
alpha,3L,146.0,0.9218088388442993,0.9865389580137274,False
alpha,4L,139.0,0.7682963609695435,0.970075868978733,False
alpha,5L,122.0,0.4389305114746094,0.970075868978733,False
alpha,6L,86.0,0.06910169124603271,0.7560537983389461,False
alpha,7L,142.0,0.8333734273910522,0.970075868978733,False
alpha,8L,142.0,0.8333734273910522,0.970075868978733,False
alpha,9L,111.0,0.27681541442871094,0.9361394015225497,False
alpha,10L,104.0,0.19737839698791504,0.9361394015225497,False
alpha,1R,117.0,0.35962629318237305,0.9694273990133534,False
alpha,2R,141.0,0.8115357160568237,0.970075868978733,False
alpha,3R,137.0,0.7257407903671265,0.970075868978733,False
alpha,4R,136.0,0.704756498336792,0.970075868978733,False
alpha,5R,127.0,0.5270590782165527,0.970075868978733,False
alpha,6R,143.0,0.8553357124328613,0.970075868978733,False
alpha,7R,138.0,0.746925950050354,0.970075868978733,False
alpha,8R,149.0,0.9888126850128174,0.9941576184453191,False
alpha,9R,144.0,0.8774070739746094,0.9772318308938763,False
alpha,10R,100.0,0.15998530387878418,0.9234880980323342,False
alpha,1LA,134.0,0.6634435653686523,0.970075868978733,False
alpha,2LA,137.0,0.7257407903671265,0.970075868978733,False
alpha,3LA,97.0,0.1355280876159668,0.9090056419372559,False
alpha,1LB,149.0,0.9888126850128174,0.9941576184453191,False
alpha,2LB,150.0,1.0,1.0,False
alpha,3LB,119.0,0.3902466297149658,0.970075868978733,False
alpha,4LB,134.0,0.6634435653686523,0.970075868978733,False
alpha,5LB,140.0,0.7898378372192383,0.970075868978733,False
alpha,1LC,123.0,0.45587432384490967,0.970075868978733,False
alpha,2LC,143.0,0.8553357124328613,0.970075868978733,False
alpha,3LC,97.0,0.1355280876159668,0.9090056419372559,False
alpha,4LC,101.0,0.1688096523284912,0.9234880980323342,False
alpha,5LC,105.0,0.20761656761169434,0.9361394015225497,False
alpha,1LD,120.0,0.40611207485198975,0.970075868978733,False
alpha,2LD,136.0,0.704756498336792,0.970075868978733,False
alpha,3LD,95.0,0.12084019184112549,0.9090056419372559,False
alpha,4LD,98.0,0.14335036277770996,0.9090056419372559,False
alpha,1RA,136.0,0.704756498336792,0.970075868978733,False
alpha,2RA,146.0,0.9218088388442993,0.9865389580137274,False
alpha,3RA,124.0,0.47316575050354004,0.970075868978733,False
alpha,1RB,130.0,0.5838061571121216,0.970075868978733,False
alpha,2RB,126.0,0.5087660551071167,0.970075868978733,False
alpha,3RB,140.0,0.7898378372192383,0.970075868978733,False
alpha,4RB,143.0,0.8553357124328613,0.970075868978733,False
alpha,5RB,133.0,0.6431422233581543,0.970075868978733,False
alpha,1RC,141.0,0.8115357160568237,0.970075868978733,False
alpha,2RC,131.0,0.6033114194869995,0.970075868978733,False
alpha,3RC,142.0,0.8333734273910522,0.970075868978733,False
alpha,4RC,117.0,0.35962629318237305,0.9694273990133534,False
alpha,5RC,130.0,0.5838061571121216,0.970075868978733,False
alpha,1RD,121.0,0.4223414659500122,0.970075868978733,False
alpha,2RD,108.0,0.2405325174331665,0.9361394015225497,False
alpha,3RD,117.0,0.35962629318237305,0.9694273990133534,False
alpha,4RD,119.0,0.3902466297149658,0.970075868978733,False
beta,1Z,143.0,0.8553357124328613,0.970075868978733,False
beta,2Z,130.0,0.5838061571121216,0.970075868978733,False
beta,3Z,141.0,0.8115357160568237,0.970075868978733,False
beta,4Z,117.0,0.35962629318237305,0.9694273990133534,False
beta,6Z,98.0,0.14335036277770996,0.9090056419372559,False
beta,7Z,144.0,0.8774070739746094,0.9772318308938763,False
beta,8Z,148.0,0.9664472341537476,0.9941576184453191,False
beta,9Z,128.0,0.5456695556640625,0.970075868978733,False
beta,1L,117.0,0.35962629318237305,0.9694273990133534,False
beta,2L,143.0,0.8553357124328613,0.970075868978733,False
beta,3L,135.0,0.6839864253997803,0.970075868978733,False
beta,4L,120.0,0.40611207485198975,0.970075868978733,False
beta,5L,111.0,0.27681541442871094,0.9361394015225497,False
beta,6L,81.0,0.04906117916107178,0.6518128088542393,False
beta,7L,107.0,0.22918963432312012,0.9361394015225497,False
beta,8L,138.0,0.746925950050354,0.970075868978733,False
beta,9L,149.0,0.9888126850128174,0.9941576184453191,False
beta,10L,147.0,0.944107174873352,0.9865389580137274,False
beta,1R,147.0,0.944107174873352,0.9865389580137274,False
beta,2R,138.0,0.746925950050354,0.970075868978733,False
beta,3R,129.0,0.5645889043807983,0.970075868978733,False
beta,4R,134.0,0.6634435653686523,0.970075868978733,False
beta,5R,116.0,0.344876766204834,0.9694273990133534,False
beta,6R,139.0,0.7682963609695435,0.970075868978733,False
beta,7R,149.0,0.9888126850128174,0.9941576184453191,False
beta,8R,146.0,0.9218088388442993,0.9865389580137274,False
beta,9R,141.0,0.8115357160568237,0.970075868978733,False
beta,10R,121.0,0.4223414659500122,0.970075868978733,False
beta,1LA,126.0,0.5087660551071167,0.970075868978733,False
