band,channel,statistic,p_value,p_value_corrected,significant
theta,1Z,89.0,0.08392000198364258,0.8547240387309681,False
theta,2Z,130.0,0.5838061571121216,0.9648567831123268,False
theta,3Z,126.0,0.5087660551071167,0.9648567831123268,False
theta,4Z,77.0,0.036649227142333984,0.8547240387309681,False
theta,6Z,140.0,0.7898378372192383,0.9648567831123268,False
theta,7Z,97.0,0.1355280876159668,0.8721832036972046,False
theta,8Z,114.0,0.3165123462677002,0.9648567831123268,False
theta,9Z,121.0,0.4223414659500122,0.9648567831123268,False
theta,1L,110.0,0.26434290409088135,0.9648567831123268,False
theta,2L,138.0,0.746925950050354,0.9648567831123268,False
theta,3L,108.0,0.2405325174331665,0.9648567831123268,False
theta,4L,144.0,0.8774070739746094,0.9648567831123268,False
theta,5L,98.0,0.14335036277770996,0.8721832036972046,False
theta,6L,100.0,0.15998530387878418,0.8721832036972046,False
theta,7L,114.0,0.3165123462677002,0.9648567831123268,False
theta,8L,142.0,0.8333734273910522,0.9648567831123268,False
theta,9L,128.0,0.5456695556640625,0.9648567831123268,False
theta,10L,137.0,0.7257407903671265,0.9648567831123268,False
theta,1R,123.0,0.45587432384490967,0.9648567831123268,False
theta,2R,118.0,0.37475037574768066,0.9648567831123268,False
theta,3R,140.0,0.7898378372192383,0.9648567831123268,False
theta,4R,111.0,0.27681541442871094,0.9648567831123268,False
theta,5R,144.0,0.8774070739746094,0.9648567831123268,False
theta,6R,143.0,0.8553357124328613,0.9648567831123268,False
theta,7R,125.0,0.49079859256744385,0.9648567831123268,False
theta,8R,149.0,0.9888126850128174,0.9888126850128174,False
theta,9R,144.0,0.8774070739746094,0.9648567831123268,False
theta,10R,124.0,0.47316575050354004,0.9648567831123268,False
theta,1LA,96.0,0.128027081489563,0.8721832036972046,False
theta,2LA,92.0,0.10109639167785645,0.8547240387309681,False
theta,3LA,139.0,0.7682963609695435,0.9648567831123268,False
theta,1LB,106.0,0.21821892261505127,0.9648567831123268,False
theta,2LB,115.0,0.3305051326751709,0.9648567831123268,False
theta,3LB,135.0,0.6839864253997803,0.9648567831123268,False
theta,4LB,139.0,0.7682963609695435,0.9648567831123268,False
theta,5LB,83.0,0.05642664432525635,0.8547240387309681,False
theta,1LC,142.0,0.8333734273910522,0.9648567831123268,False
theta,2LC,141.0,0.8115357160568237,0.9648567831123268,False
theta,3LC,147.0,0.944107174873352,0.9648567831123268,False
theta,4LC,139.0,0.7682963609695435,0.9648567831123268,False
theta,5LC,90.0,0.08937323093414307,0.8547240387309681,False
theta,1LD,147.0,0.944107174873352,0.9648567831123268,False
theta,2LD,111.0,0.27681541442871094,0.9648567831123268,False
theta,3LD,125.0,0.49079859256744385,0.9648567831123268,False
theta,4LD,123.0,0.45587432384490967,0.9648567831123268,False
theta,1RA,146.0,0.9218088388442993,0.9648567831123268,False
theta,2RA,120.0,0.40611207485198975,0.9648567831123268,False
theta,3RA,123.0,0.45587432384490967,0.9648567831123268,False
theta,1RB,129.0,0.5645889043807983,0.9648567831123268,False
theta,2RB,132.0,0.6230943202972412,0.9648567831123268,False
theta,3RB,137.0,0.7257407903671265,0.9648567831123268,False
theta,4RB,101.0,0.1688096523284912,0.8721832036972046,False
theta,5RB,132.0,0.6230943202972412,0.9648567831123268,False
theta,1RC,136.0,0.704756498336792,0.9648567831123268,False
theta,2RC,107.0,0.22918963432312012,0.9648567831123268,False
theta,3RC,141.0,0.8115357160568237,0.9648567831123268,False
theta,4RC,113.0,0.30289924144744873,0.9648567831123268,False
theta,5RC,123.0,0.45587432384490967,0.9648567831123268,False
theta,1RD,128.0,0.5456695556640625,0.9648567831123268,False
theta,2RD,134.0,0.6634435653686523,0.9648567831123268,False
theta,3RD,85.0,0.06464934349060059,0.8547240387309681,False
theta,4RD,135.0,0.6839864253997803,0.9648567831123268,False
alpha,1Z,139.0,0.7682963609695435,0.9648567831123268,False
alpha,2Z,144.0,0.8774070739746094,0.9648567831123268,False
alpha,3Z,143.0,0.8553357124328613,0.9648567831123268,False
alpha,4Z,135.0,0.6839864253997803,0.9648567831123268,False
alpha,6Z,109.0,0.2522493600845337,0.9648567831123268,False
alpha,7Z,145.0,0.899570107460022,0.9648567831123268,False
alpha,8Z,132.0,0.6230943202972412,0.9648567831123268,False
alpha,9Z,116.0,0.344876766204834,0.9648567831123268,False
alpha,1L,129.0,0.5645889043807983,0.9648567831123268,False
alpha,2L,129.0,0.5645889043807983,0.9648567831123268,False
alpha,3L,86.0,0.06910169124603271,0.8547240387309681,False
alpha,4L,128.0,0.5456695556640625,0.9648567831123268,False
alpha,5L,144.0,0.8774070739746094,0.9648567831123268,False
alpha,6L,56.0,0.005897641181945801,0.5484806299209595,False
alpha,7L,136.0,0.704756498336792,0.9648567831123268,False
alpha,8L,123.0,0.45587432384490967,0.9648567831123268,False
alpha,9L,135.0,0.6839864253997803,0.9648567831123268,False
alpha,10L,92.0,0.10109639167785645,0.8547240387309681,False
alpha,1R,145.0,0.899570107460022,0.9648567831123268,False
alpha,2R,112.0,0.28966712951660156,0.9648567831123268,False
alpha,3R,133.0,0.6431422233581543,0.9648567831123268,False
alpha,4R,139.0,0.7682963609695435,0.9648567831123268,False
alpha,5R,138.0,0.746925950050354,0.9648567831123268,False
alpha,6R,120.0,0.40611207485198975,0.9648567831123268,False
alpha,7R,119.0,0.3902466297149658,0.9648567831123268,False
alpha,8R,134.0,0.6634435653686523,0.9648567831123268,False
alpha,9R,126.0,0.5087660551071167,0.9648567831123268,False
alpha,10R,129.0,0.5645889043807983,0.9648567831123268,False
alpha,1LA,128.0,0.5456695556640625,0.9648567831123268,False
alpha,2LA,97.0,0.1355280876159668,0.8721832036972046,False
alpha,3LA,134.0,0.6634435653686523,0.9648567831123268,False
alpha,1LB,139.0,0.7682963609695435,0.9648567831123268,False
alpha,2LB,143.0,0.8553357124328613,0.9648567831123268,False
alpha,3LB,118.0,0.37475037574768066,0.9648567831123268,False
alpha,4LB,127.0,0.5270590782165527,0.9648567831123268,False
alpha,5LB,89.0,0.08392000198364258,0.8547240387309681,False
alpha,1LC,131.0,0.6033114194869995,0.9648567831123268,False
alpha,2LC,120.0,0.40611207485198975,0.9648567831123268,False
alpha,3LC,113.0,0.30289924144744873,0.9648567831123268,False
alpha,4LC,94.0,0.11396121978759766,0.8721832036972046,False
alpha,5LC,92.0,0.10109639167785645,0.8547240387309681,False
alpha,1LD,124.0,0.47316575050354004,0.9648567831123268,False
alpha,2LD,91.0,0.09509599208831787,0.8547240387309681,False
alpha,3LD,100.0,0.15998530387878418,0.8721832036972046,False
alpha,4LD,146.0,0.9218088388442993,0.9648567831123268,False
alpha,1RA,135.0,0.6839864253997803,0.9648567831123268,False
alpha,2RA,103.0,0.18750131130218506,0.9177695763738531,False
alpha,3RA,147.0,0.944107174873352,0.9648567831123268,False
alpha,1RB,117.0,0.35962629318237305,0.9648567831123268,False
alpha,2RB,131.0,0.6033114194869995,0.9648567831123268,False
alpha,3RB,141.0,0.8115357160568237,0.9648567831123268,False
alpha,4RB,138.0,0.746925950050354,0.9648567831123268,False
alpha,5RB,94.0,0.11396121978759766,0.8721832036972046,False
alpha,1RC,124.0,0.47316575050354004,0.9648567831123268,False
alpha,2RC,113.0,0.30289924144744873,0.9648567831123268,False
alpha,3RC,130.0,0.5838061571121216,0.9648567831123268,False
alpha,4RC,85.0,0.06464934349060059,0.8547240387309681,False
alpha,5RC,115.0,0.3305051326751709,0.9648567831123268,False
alpha,1RD,147.0,0.944107174873352,0.9648567831123268,False
alpha,2RD,139.0,0.7682963609695435,0.9648567831123268,False
alpha,3RD,147.0,0.944107174873352,0.9648567831123268,False
alpha,4RD,140.0,0.7898378372192383,0.9648567831123268,False
beta,1Z,147.0,0.944107174873352,0.9648567831123268,False
beta,2Z,138.0,0.746925950050354,0.9648567831123268,False
beta,3Z,137.0,0.7257407903671265,0.9648567831123268,False
beta,4Z,99.0,0.15150094032287598,0.8721832036972046,False
beta,6Z,138.0,0.746925950050354,0.9648567831123268,False
beta,7Z,104.0,0.19737839698791504,0.9413431240962101,False
beta,8Z,77.0,0.036649227142333984,0.8547240387309681,False
beta,9Z,121.0,0.4223414659500122,0.9648567831123268,False
beta,1L,132.0,0.6230943202972412,0.9648567831123268,False
beta,2L,141.0,0.8115357160568237,0.9648567831123268,False
beta,3L,142.0,0.8333734273910522,0.9648567831123268,False
beta,4L,67.0,0.016406655311584473,0.8547240387309681,False
beta,5L,73.0,0.026927709579467773,0.8547240387309681,False
beta,6L,39.0,0.0008462667465209961,0.15740561485290527,False
beta,7L,101.0,0.1688096523284912,0.8721832036972046,False
beta,8L,120.0,0.40611207485198975,0.9648567831123268,False
beta,9L,128.0,0.5456695556640625,0.9648567831123268,False
beta,10L,88.0,0.07872927188873291,0.8547240387309681,False
beta,1R,117.0,0.35962629318237305,0.9648567831123268,False
beta,2R,146.0,0.9218088388442993,0.9648567831123268,False
beta,3R,137.0,0.7257407903671265,0.9648567831123268,False
beta,4R,110.0,0.26434290409088135,0.9648567831123268,False
beta,5R,109.0,0.2522493600845337,0.9648567831123268,False
beta,6R,116.0,0.344876766204834,0.9648567831123268,False
beta,7R,139.0,0.7682963609695435,0.9648567831123268,False
beta,8R,124.0,0.47316575050354004,0.9648567831123268,False
beta,9R,135.0,0.6839864253997803,0.9648567831123268,False
beta,10R,131.0,0.6033114194869995,0.9648567831123268,False
beta,1LA,148.0,0.9664472341537476,0.9822906314349565,False
beta,2LA,108.0,0.2405325174331665,0.9648567831123268,False
beta,3LA,127.0,0.5270590782165527,0.9648567831123268,False
beta,1LB,149.0,0.9888126850128174,0.9888126850128174,False
beta,2LB,128.0,0.5456695556640625,0.9648567831123268,False
beta,3LB,143.0,0.8553357124328613,0.9648567831123268,False
beta,4LB,74.0,0.029131293296813965,0.8547240387309681,False
beta,5LB,140.0,0.7898378372192383,0.9648567831123268,False
beta,1LC,105.0,0.20761656761169434,0.9648567831123268,False
beta,2LC,126.0,0.5087660551071167,0.9648567831123268,False
beta,3LC,132.0,0.6230943202972412,0.9648567831123268,False
beta,4LC,143.0,0.8553357124328613,0.9648567831123268,False
beta,5LC,122.0,0.4389305114746094,0.9648567831123268,False
beta,1LD,126.0,0.5087660551071167,0.9648567831123268,False
beta,2LD,102.0,0.1779801845550537,0.8947111980335133,False
beta,3LD,100.0,0.15998530387878418,0.8721832036972046,False
beta,4LD,87.0,0.07379257678985596,0.8547240387309681,False
beta,1RA,106.0,0.21821892261505127,0.9648567831123268,False
beta,2RA,142.0,0.8333734273910522,0.9648567831123268,False
beta,3RA,92.0,0.10109639167785645,0.8547240387309681,False
beta,1RB,136.0,0.704756498336792,0.9648567831123268,False
