band,channel,statistic,p_value,p_value_corrected,significant
theta,1Z,118.0,0.37475037574768066,0.9931446715613096,False
theta,2Z,92.0,0.10109639167785645,0.9931446715613096,False
theta,3Z,112.0,0.28966712951660156,0.9931446715613096,False
theta,4Z,84.0,0.060427069664001465,0.9931446715613096,False
theta,6Z,138.0,0.746925950050354,0.9931446715613096,False
theta,7Z,99.0,0.15150094032287598,0.9931446715613096,False
theta,8Z,88.0,0.07872927188873291,0.9931446715613096,False
theta,9Z,79.0,0.04248917102813721,0.9931446715613096,False
theta,1L,95.0,0.12084019184112549,0.9931446715613096,False
theta,2L,123.0,0.45587432384490967,0.9931446715613096,False
theta,3L,132.0,0.6230943202972412,0.9931446715613096,False
theta,4L,148.0,0.9664472341537476,0.9931446715613096,False
theta,5L,102.0,0.1779801845550537,0.9931446715613096,False
theta,6L,124.0,0.47316575050354004,0.9931446715613096,False
theta,7L,114.0,0.3165123462677002,0.9931446715613096,False
theta,8L,67.0,0.016406655311584473,0.9931446715613096,False
theta,9L,88.0,0.07872927188873291,0.9931446715613096,False
theta,10L,87.0,0.07379257678985596,0.9931446715613096,False
theta,1R,122.0,0.4389305114746094,0.9931446715613096,False
theta,2R,138.0,0.746925950050354,0.9931446715613096,False
theta,3R,119.0,0.3902466297149658,0.9931446715613096,False
theta,4R,100.0,0.15998530387878418,0.9931446715613096,False
theta,5R,140.0,0.7898378372192383,0.9931446715613096,False
theta,6R,145.0,0.899570107460022,0.9931446715613096,False
theta,7R,108.0,0.2405325174331665,0.9931446715613096,False
theta,8R,112.0,0.28966712951660156,0.9931446715613096,False
theta,9R,98.0,0.14335036277770996,0.9931446715613096,False
theta,10R,96.0,0.128027081489563,0.9931446715613096,False
theta,1LA,131.0,0.6033114194869995,0.9931446715613096,False
theta,2LA,140.0,0.7898378372192383,0.9931446715613096,False
theta,3LA,147.0,0.944107174873352,0.9931446715613096,False
theta,1LB,149.0,0.9888126850128174,0.999560648980348,False
theta,2LB,148.0,0.9664472341537476,0.9931446715613096,False
