band,channel,statistic,p_value,p_value_corrected,significant
theta,1Z,62.0,0.010507822036743164,0.13960392134530203,False
theta,2Z,106.0,0.21821892261505127,0.39792862359215236,False
theta,3Z,72.0,0.024863600730895996,0.16516534771238053,False
theta,4Z,127.0,0.5270590782165527,0.6244139397979541,False
theta,6Z,116.0,0.344876766204834,0.4859627160159024,False
theta,7Z,141.0,0.8115357160568237,0.8480092313852202,False
theta,8Z,108.0,0.2405325174331665,0.4104499838767795,False
theta,9Z,110.0,0.26434290409088135,0.4275459144426429,False
theta,1L,103.0,0.18750131130218506,0.3832444384857848,False
theta,2L,74.0,0.029131293296813965,0.16932564228773117,False
theta,3L,111.0,0.27681541442871094,0.43450069427490234,False
theta,4L,116.0,0.344876766204834,0.4859627160159024,False
theta,5L,112.0,0.28966712951660156,0.43450069427490234,False
theta,6L,110.0,0.26434290409088135,0.4275459144426429,False
theta,7L,105.0,0.20761656761169434,0.39404777118137907,False
theta,8L,112.0,0.28966712951660156,0.43450069427490234,False
theta,9L,86.0,0.06910169124603271,0.25201793277964873,False
theta,10L,108.0,0.2405325174331665,0.4104499838767795,False
theta,1R,52.0,0.0039006471633911133,0.09942094484965007,False
theta,2R,64.0,0.012604832649230957,0.15629992485046387,False
theta,3R,94.0,0.11396121978759766,0.340651679683376,False
theta,4R,96.0,0.128027081489563,0.340651679683376,False
theta,5R,84.0,0.060427069664001465,0.2497652212778727,False
theta,6R,110.0,0.26434290409088135,0.4275459144426429,False
theta,7R,127.0,0.5270590782165527,0.6244139397979541,False
theta,8R,70.0,0.02112710475921631,0.16516534771238053,False
theta,9R,116.0,0.344876766204834,0.4859627160159024,False
theta,10R,99.0,0.15150094032287598,0.35669841645639155,False
theta,1LA,92.0,0.10109639167785645,0.32420566986347066,False
theta,2LA,105.0,0.20761656761169434,0.39404777118137907,False
theta,3LA,103.0,0.18750131130218506,0.3832444384857848,False
theta,1LB,96.0,0.128027081489563,0.340651679683376,False
theta,2LB,69.0,0.019441962242126465,0.16437295350161465,False
theta,3LB,71.0,0.022932052612304688,0.16516534771238053,False
theta,4LB,34.0,0.0004298686981201172,0.0799555778503418,False
theta,5LB,72.0,0.024863600730895996,0.16516534771238053,False
theta,1LC,115.0,0.3305051326751709,0.48404688722505346,False
theta,2LC,82.0,0.05264079570770264,0.2331235238483974,False
theta,3LC,98.0,0.14335036277770996,0.34183548046992374,False
theta,4LC,62.0,0.010507822036743164,0.13960392134530203,False
theta,5LC,101.0,0.1688096523284912,0.3693952392129337,False
theta,1LD,127.0,0.5270590782165527,0.6244139397979541,False
theta,2LD,102.0,0.1779801845550537,0.3832444384857848,False
theta,3LD,82.0,0.05264079570770264,0.2331235238483974,False
theta,4LD,100.0,0.15998530387878418,0.36289349416407146,False
theta,1RA,53.0,0.00433504581451416,0.09942094484965007,False
theta,2RA,96.0,0.128027081489563,0.340651679683376,False
theta,3RA,112.0,0.28966712951660156,0.43450069427490234,False
theta,1RB,53.0,0.00433504581451416,0.09942094484965007,False
theta,2RB,105.0,0.20761656761169434,0.39404777118137907,False
theta,3RB,69.0,0.019441962242126465,0.16437295350161465,False
theta,4RB,103.0,0.18750131130218506,0.3832444384857848,False
theta,5RB,97.0,0.1355280876159668,0.340651679683376,False
theta,1RC,118.0,0.37475037574768066,0.4978826420647757,False
theta,2RC,68.0,0.017870306968688965,0.16437295350161465,False
theta,3RC,76.0,0.033985137939453125,0.18591869578642004,False
theta,4RC,86.0,0.06910169124603271,0.25201793277964873,False
theta,5RC,108.0,0.2405325174331665,0.4104499838767795,False
theta,1RD,130.0,0.5838061571121216,0.6702959581657693,False
theta,2RD,79.0,0.04248917102813721,0.21952738364537558,False
theta,3RD,149.0,0.9888126850128174,0.9888126850128174,False
theta,4RD,129.0,0.5645889043807983,0.6563346013426781,False
alpha,1Z,65.0,0.013779282569885254,0.16018415987491608,False
alpha,2Z,105.0,0.20761656761169434,0.39404777118137907,False
alpha,3Z,83.0,0.05642664432525635,0.23853081464767456,False
alpha,4Z,130.0,0.5838061571121216,0.6702959581657693,False
