PID        Process Name
=========================
0          System Idle Process
4          System
88         
156        Registry
176        conhost.exe
284        DellUpService.exe
476        msedge.exe
484        msedge.exe
620        chrome.exe
672        smss.exe
688        LsaIso.exe
708        services.exe
780        lsass.exe
860        csrss.exe
980        wininit.exe
988        csrss.exe
1084       svchost.exe
1100       svchost.exe
1116       fontdrvhost.exe
1152       WUDFHost.exe
1232       WUDFHost.exe
1300       svchost.exe
1352       svchost.exe
1380       msedge.exe
1408       winlogon.exe
1460       fontdrvhost.exe
1524       dwm.exe
1568       UserOOBEBroker.exe
1572       chrome.exe
1640       svchost.exe
1648       svchost.exe
1656       svchost.exe
1684       PhoneExperienceHost.exe
1700       svchost.exe
1724       CompPkgSrv.exe
1796       svchost.exe
1816       svchost.exe
1824       svchost.exe
1884       DDVRulesProcessor.exe
1920       svchost.exe
1972       svchost.exe
1992       svchost.exe
2004       IntelCpHDCPSvc.exe
2044       svchost.exe
2080       svchost.exe
2140       DellSupportAssistRemedationService.exe
2256       slack.exe
2312       svchost.exe
2324       svchost.exe
2340       svchost.exe
2360       IntelCpHeciSvc.exe
2372       TextInputHost.exe
2380       msedge.exe
2476       svchost.exe
2640       svchost.exe
2668       svchost.exe
2696       svchost.exe
2732       NVDisplay.Container.exe
2816       dasHost.exe
2864       svchost.exe
2872       svchost.exe
2984       svchost.exe
3028       svchost.exe
3048       sihost.exe
3068       svchost.exe
3088       svchost.exe
3136       svchost.exe
3144       svchost.exe
3164       svchost.exe
3256       MemCompression
3320       svchost.exe
3344       svchost.exe
3352       igfxCUIService.exe
3372       Microsoft.SharePoint.exe
3396       svchost.exe
3404       svchost.exe
3440       svchost.exe
3472       chrome.exe
3552       svchost.exe
3628       svchost.exe
3704       taskhostw.exe
3748       svchost.exe
3828       svchost.exe
3936       svchost.exe
3956       NVDisplay.Container.exe
4004       Code.exe
4076       svchost.exe
4252       svchost.exe
4272       WavesSysSvc64.exe
4332       svchost.exe
4368       svchost.exe
4388       TobiiVirtualDevice.exe
4400       svchost.exe
4408       msedge.exe
4444       spoolsv.exe
4504       chrome.exe
4528       svchost.exe
4580       svchost.exe
4672       svchost.exe
4684       DPMCrashHandler.exe
4688       svchost.exe
4700       svchost.exe
4716       DPMService.exe
4784       svchost.exe
4816       OneApp.IGCC.WinService.exe
4828       RtkAudUService64.exe
4832       armsvc.exe
4848       esif_uf.exe
4872       EvtEng.exe
4884       KillerAnalyticsService.exe
4892       CodeMeter.exe
4916       nvcontainer.exe
4940       svchost.exe
