band,channel,F_stat,p_value,degrees_of_freedom,effect_size,p_value_corrected,significant
theta,1Z,2.0252868783288673,0.1681233633165632,1,0.0027548759794387007,0.9962431930573746,False
theta,2Z,2.839577073763565,0.10549088806240352,1,0.0027721654356363066,0.9962431930573746,False
theta,3Z,0.16718090192510368,0.6864117563647034,1,0.00018191398937609702,0.9962431930573746,False
theta,4Z,5.191083702373727,0.03231209354831114,1,0.004953935611232419,0.9962431930573746,False
theta,6Z,0.5836804412660233,0.45264019674304035,1,0.0015324607321080743,0.9962431930573746,False
theta,7Z,0.9958655280565597,0.3286968962200174,1,0.0017226084711404015,0.9962431930573746,False
theta,8Z,2.2267900721212386,0.14922597357866538,1,0.0014839862358281717,0.9962431930573746,False
theta,9Z,3.7991632227815635,0.06357637455522043,1,0.0019241682423076548,0.9962431930573746,False
theta,1L,2.7881252815236186,0.10852104399994657,1,0.0050395289056571835,0.9962431930573746,False
theta,2L,1.8063887896708615,0.19205073757311183,1,0.0019337717007981575,0.9962431930573746,False
theta,3L,0.1675538789289123,0.686081955743373,1,0.00014392650856596224,0.9962431930573746,False
theta,4L,0.07183348332570794,0.7910747538827452,1,8.768713757825912e-05,0.9962431930573746,False
theta,5L,1.7122271865426442,0.20362224115284716,1,0.0019188727822086777,0.9962431930573746,False
theta,6L,0.03024508295214678,0.8634569358020027,1,4.035112860540676e-05,0.9962431930573746,False
theta,7L,1.3977807557425614,0.249174452999142,1,0.0027673691852888416,0.9962431930573746,False
theta,8L,3.8627905408939167,0.06155659397264661,1,0.0026073098037152583,0.9962431930573746,False
theta,9L,2.6622735468754732,0.11637205573161448,1,0.0018297810309631543,0.9962431930573746,False
theta,10L,3.1655525267973306,0.08842735796667005,1,0.003158929613014274,0.9962431930573746,False
theta,1R,1.0868702342146916,0.3080005968118883,1,0.00230723384948994,0.9962431930573746,False
theta,2R,0.27133344607705906,0.6074178310918388,1,0.00047583278061755045,0.9962431930573746,False
theta,3R,0.36280302764371725,0.552846206352936,1,0.000529311035663404,0.9962431930573746,False
theta,4R,0.8629105045844814,0.3625727577127176,1,0.0009857189909793563,0.9962431930573746,False
theta,5R,0.15264994828902084,0.6996112095841942,1,0.0002064584141645573,0.9962431930573746,False
theta,6R,0.3433240543247113,0.5636230495866911,1,0.0005827612169595865,0.9962431930573746,False
theta,7R,0.6648680999713961,0.42321048699580044,1,0.001933524429274604,0.9962431930573746,False
theta,8R,0.6186166594426966,0.4395910222073707,1,0.000492516973277316,0.9962431930573746,False
theta,9R,0.9197896997162041,0.347504249944909,1,0.0005056495952071063,0.9962431930573746,False
theta,10R,2.136277537961941,0.15737975024867215,1,0.0016540486351541998,0.9962431930573746,False
theta,1LA,0.015197453995625394,0.9029579514497,1,1.6176811650887616e-05,0.9962431930573746,False
