band,channel,statistic,p_value,p_value_corrected,significant
theta,1Z,113.0,0.30289924144744873,0.9876878327065771,False
theta,2Z,86.0,0.06910169124603271,0.9876878327065771,False
theta,3Z,109.0,0.2522493600845337,0.9876878327065771,False
theta,4Z,83.0,0.05642664432525635,0.9876878327065771,False
theta,6Z,142.0,0.8333734273910522,0.9876878327065771,False
theta,7Z,92.0,0.10109639167785645,0.9876878327065771,False
theta,8Z,88.0,0.07872927188873291,0.9876878327065771,False
theta,9Z,77.0,0.036649227142333984,0.9876878327065771,False
theta,1L,90.0,0.08937323093414307,0.9876878327065771,False
theta,2L,112.0,0.28966712951660156,0.9876878327065771,False
theta,3L,128.0,0.5456695556640625,0.9876878327065771,False
theta,4L,148.0,0.9664472341537476,0.9876878327065771,False
theta,5L,95.0,0.12084019184112549,0.9876878327065771,False
theta,6L,122.0,0.4389305114746094,0.9876878327065771,False
theta,7L,105.0,0.20761656761169434,0.9876878327065771,False
theta,8L,65.0,0.013779282569885254,0.9876878327065771,False
theta,9L,92.0,0.10109639167785645,0.9876878327065771,False
theta,10L,84.0,0.060427069664001465,0.9876878327065771,False
theta,1R,125.0,0.49079859256744385,0.9876878327065771,False
theta,2R,139.0,0.7682963609695435,0.9876878327065771,False
theta,3R,117.0,0.35962629318237305,0.9876878327065771,False
theta,4R,99.0,0.15150094032287598,0.9876878327065771,False
theta,5R,142.0,0.8333734273910522,0.9876878327065771,False
theta,6R,142.0,0.8333734273910522,0.9876878327065771,False
theta,7R,107.0,0.22918963432312012,0.9876878327065771,False
theta,8R,111.0,0.27681541442871094,0.9876878327065771,False
theta,9R,112.0,0.28966712951660156,0.9876878327065771,False
theta,10R,105.0,0.20761656761169434,0.9876878327065771,False
theta,1LA,142.0,0.8333734273910522,0.9876878327065771,False
theta,2LA,145.0,0.899570107460022,0.9876878327065771,False
theta,3LA,136.0,0.704756498336792,0.9876878327065771,False
theta,1LB,140.0,0.7898378372192383,0.9876878327065771,False
theta,2LB,141.0,0.8115357160568237,0.9876878327065771,False
theta,3LB,122.0,0.4389305114746094,0.9876878327065771,False
theta,4LB,117.0,0.35962629318237305,0.9876878327065771,False
theta,5LB,135.0,0.6839864253997803,0.9876878327065771,False
theta,1LC,114.0,0.3165123462677002,0.9876878327065771,False
theta,2LC,137.0,0.7257407903671265,0.9876878327065771,False
theta,3LC,103.0,0.18750131130218506,0.9876878327065771,False
theta,4LC,71.0,0.022932052612304688,0.9876878327065771,False
theta,5LC,79.0,0.04248917102813721,0.9876878327065771,False
