participant,band,channel,statistic,p_value,p_value_corrected,significant
1,theta,1Z,40175.0,0.46507736529875165,0.5360328001263113,False
1,theta,2Z,40320.0,0.5029233609432613,0.5669317886996764,False
1,theta,3Z,38491.0,0.15143571556672433,0.24707932539833968,False
1,theta,4Z,41462.0,0.8473474474280255,0.8612383891891406,False
1,theta,6Z,39183.0,0.25212626045587283,0.3325920882609386,False
1,theta,7Z,38030.0,0.10369639911555027,0.2159564041537269,False
1,theta,8Z,38115.0,0.11146136988579453,0.2159564041537269,False
1,theta,9Z,37354.0,0.05616133249928202,0.14854094114063215,False
1,theta,1L,38625.0,0.16806060099308384,0.2669506964450833,False
1,theta,2L,39160.0,0.248166238939302,0.3325920882609386,False
1,theta,3L,41757.0,0.9448428521614693,0.9448428521614693,False
1,theta,4L,38476.0,0.1496555653953033,0.24707932539833968,False
1,theta,5L,38657.0,0.17222625577102146,0.2669506964450833,False
1,theta,6L,37444.0,0.061184647537320565,0.14854094114063215,False
1,theta,7L,41067.0,0.7206225919278337,0.7703207017159602,False
1,theta,8L,39140.0,0.2447582888543003,0.3325920882609386,False
1,theta,9L,36574.0,0.025361792844383314,0.0996503160073326,False
1,theta,10L,35804.0,0.01053572270805647,0.06258611263120999,False
1,theta,1R,38477.0,0.1497737431631125,0.24707932539833968,False
1,theta,2R,37933.0,0.09536718970729861,0.2159564041537269,False
1,theta,3R,35921.0,0.012113441154427739,0.06258611263120999,False
1,theta,4R,35883.0,0.011579461689297773,0.06258611263120999,False
1,theta,5R,41289.0,0.7911453453756758,0.8261815199336948,False
1,theta,6R,39953.0,0.4103288374147023,0.4892382292252219,False
1,theta,7R,37165.0,0.04672440876983923,0.1436319208632038,False
1,theta,8R,37206.0,0.04864952158269806,0.1436319208632038,False
1,theta,9R,35679.0,0.009054588699305572,0.06237605548410505,False
1,theta,10R,36671.0,0.02814223709433592,0.0996503160073326,False
1,theta,1LA,34657.0,0.002387747551897216,0.037010087054406844,True
1,theta,2LA,38035.0,0.10414093455906052,0.2159564041537269,False
1,theta,3LA,39789.0,0.3724613182756976,0.4618520346618651,False
1,theta,1LB,36898.0,0.035693274311403,0.11647278985826241,False
1,theta,2LB,35545.0,0.00767591185604954,0.06237605548410505,False
1,theta,3LB,36660.0,0.027814257905765336,0.0996503160073326,False
1,theta,4LB,38964.0,0.21618018247363657,0.3191231265087016,False
1,theta,5LB,40532.0,0.5610556357062988,0.6211687395319737,False
1,theta,1LC,39516.0,0.31441782880602454,0.40612302887444834,False
1,theta,2LC,40182.0,0.46686727752936785,0.5360328001263113,False
1,theta,3LC,38113.0,0.11127353549390774,0.2159564041537269,False
1,theta,4LC,39860.0,0.3885818101230145,0.4723935730907235,False
1,theta,5LC,38158.0,0.11556064012097993,0.21711392992426534,False
1,theta,1LD,40652.0,0.595342319031027,0.6475653294723451,False
1,theta,2LD,39745.0,0.36268232218743846,0.4589041627677793,False
1,theta,3LD,35494.0,0.007202744265510663,0.06237605548410505,False
1,theta,4LD,38067.0,0.10702191406034721,0.2159564041537269,False
1,theta,1RA,36697.0,0.028930736905354627,0.0996503160073326,False
1,theta,2RA,41315.0,0.7995305031616402,0.8261815199336948,False
1,theta,3RA,37319.0,0.05430286228370484,0.14854094114063215,False
1,theta,1RB,38271.0,0.12689887507147052,0.23140383101268155,False
1,theta,2RB,38411.0,0.14212561259627163,0.24707932539833968,False
1,theta,3RB,38948.0,0.21370655325954935,0.3191231265087016,False
1,theta,4RB,39030.0,0.226601720452981,0.3267280620484842,False
1,theta,5RB,34299.0,0.0014382087553711832,0.029722980944337788,True
1,theta,1RC,39179.0,0.2514344148437677,0.3325920882609386,False
1,theta,2RC,37463.0,0.062291362413813486,0.14854094114063215,False
1,theta,3RC,37447.0,0.06135830156383455,0.14854094114063215,False
1,theta,4RC,35665.0,0.0089008617449326,0.06237605548410505,False
1,theta,5RC,36265.0,0.018029141678037163,0.08380201574924832,False
1,theta,1RD,36308.0,0.018923035814346394,0.08380201574924832,False
1,theta,2RD,33845.0,0.0007337226290298304,0.029722980944337788,True
1,theta,3RD,34272.0,0.0013830850875130494,0.029722980944337788,True
1,theta,4RD,35220.0,0.005080843064930056,0.06237605548410505,False
1,alpha,1Z,36954.0,0.037802051283307866,0.14648294872281797,False
1,alpha,2Z,37439.0,0.06089612879736656,0.19871368344403825,False
1,alpha,3Z,38073.0,0.10756906265794887,0.30314917658149226,False
1,alpha,4Z,37923.0,0.09453987383496877,0.2930736088884032,False
1,alpha,6Z,41166.0,0.7518191226729947,0.8963997231870321,False
1,alpha,7Z,41115.0,0.7356938288790424,0.8943728900098162,False
1,alpha,8Z,41348.0,0.8102064592701983,0.9113937192289424,False
1,alpha,9Z,40531.0,0.5607739740573211,0.8085578230593932,False
1,alpha,1L,33026.0,0.00019999208688111482,0.0020665848977715197,True
1,alpha,2L,32657.0,0.00010738012441562612,0.001331513542753764,True
1,alpha,3L,34284.0,0.0014073394280297268,0.009695004948649229,True
1,alpha,4L,32617.0,0.00010024348292042711,0.001331513542753764,True
1,alpha,5L,35842.0,0.011026847744192613,0.05258958154922631,False
1,alpha,6L,38067.0,0.10702191406034721,0.30314917658149226,False
1,alpha,7L,39881.0,0.3934300776756885,0.7374588456873437,False
1,alpha,8L,39822.0,0.3799017450611707,0.7360596310560182,False
1,alpha,9L,41083.0,0.7256346251316468,0.8943728900098162,False
1,alpha,10L,41388.0,0.8231943270454963,0.9113937192289424,False
1,alpha,1R,40027.0,0.42813874278774533,0.7550981257651901,False
1,alpha,2R,40455.0,0.5395704053849233,0.7965086936634582,False
1,alpha,3R,41570.0,0.8828506623613926,0.9266162181429646,False
1,alpha,4R,40069.0,0.43844407302494914,0.7550981257651901,False
1,alpha,5R,41813.0,0.9634899333456302,0.969155078780706,False
1,alpha,6R,39200.0,0.255081405824942,0.5857424874498668,False
1,alpha,7R,41379.0,0.8202676952263177,0.9113937192289424,False
1,alpha,8R,41604.0,0.8940800012305221,0.9266162181429646,False
1,alpha,9R,40968.0,0.6898843193759661,0.8729148530879571,False
1,alpha,10R,40393.0,0.522575257065318,0.7965086936634582,False
1,alpha,1LA,32237.0,5.14690048653818e-05,0.0010636927672178905,True
1,alpha,2LA,35089.0,0.004281708958573018,0.022122162952627263,True
1,alpha,3LA,41612.0,0.8967253723964174,0.9266162181429646,False
1,alpha,1LB,31312.0,9.184422631528673e-06,0.0002847171015773889,True
1,alpha,2LB,30659.0,2.4953473800111596e-06,0.0001547115375606919,True
1,alpha,3LB,33822.0,0.0007084897250035064,0.006106238699200785,True
1,alpha,4LB,36183.0,0.016426551214427758,0.07274615537818008,False
1,alpha,5LB,38183.0,0.11799787640851263,0.3180812320577297,False
1,alpha,1LC,33892.0,0.000787901767638811,0.006106238699200785,True
1,alpha,2LC,35009.0,0.003851585556050877,0.02170893677046858,True
1,alpha,3LC,34705.0,0.0025516364171319214,0.015820145786217914,True
1,alpha,4LC,39451.0,0.30152555695217476,0.644640845897753,False
1,alpha,5LC,40434.0,0.5337831248958795,0.7965086936634582,False
1,alpha,1LD,37074.0,0.042679723114392325,0.15565546077013673,False
1,alpha,2LD,38839.0,0.19739692779756912,0.4895443809379715,False
